uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"7ada4125-2eca-42cc-8f15-03a4a51be10a",22497,"Payload delivery","filename","6800o9dudttc.exe","",0,1595415851,"","","","",""
"1e52ff90-666b-45d2-be89-08245609f338",22497,"Payload delivery","md5","6e1b1ee652297da53436d04c0b205767","",1,1595415851,"","","","",""
"824e8f9d-92a0-479d-82ca-bf3ce574e480",22497,"Payload delivery","sha1","8f5182e0d6c93b6b1d4e55f38316efa5ef02bedc","",1,1595415851,"","","","",""
"5186db6d-593d-43c9-b6ce-5866ff5e8336",22497,"Payload delivery","sha256","aa2df5f6b5854fdcd5ee8ad249ffb15a2c07e5fbd1a4655b4b4480703665bba9","",1,1595415851,"","","","",""
"5bbff151-9244-4e83-8827-0feb4c2bc2e7",22497,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1595415851,"","","","",""
"f2486abc-457e-41eb-bdb9-2cc65510138b",22497,"Payload delivery","imphash","eac14a3b805ec7ce3f4759f2fcfb40c4","",0,1595415851,"","","","",""
"fdec0a95-d8a3-4642-94af-a20ded4f8419",22497,"Network activity","url","http://afboxmarket.com/antoniostart/6800o9dudttc.exe","",1,1595415851,"","","","",""
"5fe2c8cd-71fa-41cb-8161-a2ad2b315785",22497,"Network activity","domain","afboxmarket.com","",1,1595415851,"","","","",""
"63793b19-8dc6-4f13-a70d-effba42efcc7",22497,"Other","text",".text","",0,1595415851,"name","","3324e791-7cb1-4efc-be22-4a4032965e32","pe-section","file"
"f77116af-74f2-48af-ab5d-a1e80c0fd6f0",22497,"Payload delivery","md5","18d1c999ff9eeb48fe10b97b268a37f4","",1,1595415851,"md5","","3324e791-7cb1-4efc-be22-4a4032965e32","pe-section","file"
"9f1f624b-f786-4a4e-9b17-e4a4a438b6d2",22497,"Payload delivery","sha1","14d69e357ab2dda2d1aecbefd7b20ba4a08f7323","",1,1595415851,"sha1","","3324e791-7cb1-4efc-be22-4a4032965e32","pe-section","file"
"5ebd7943-6cbd-4f0c-b948-110803dd4c4e",22497,"Payload delivery","sha256","fab63e9393370c1e95e856b74ea246265da8a2c0a3af7e768cdd4525b748de06","",1,1595415851,"sha256","","3324e791-7cb1-4efc-be22-4a4032965e32","pe-section","file"
"0cf2f3fc-dca3-40e5-af7b-fcda59dcd1d3",22497,"Other","size-in-bytes",245760,"",0,1595415851,"size-in-bytes","","3324e791-7cb1-4efc-be22-4a4032965e32","pe-section","file"
"f42d46be-b818-40b8-b9e9-de7b068046a2",22497,"Other","float",6.81164,"",0,1595415851,"entropy","","3324e791-7cb1-4efc-be22-4a4032965e32","pe-section","file"
"00ff4b7d-812c-4c3c-9477-22ac80be3434",22497,"Other","text",".data","",0,1595415851,"name","","46016d12-9eb6-4f01-a261-17e425c07305","pe-section","file"
"1b09a5cf-ab48-4596-8257-8c5e0d1e93cb",22497,"Payload delivery","md5","620f0b67a91f7f74151bc5be745b7110","",1,1595415851,"md5","","46016d12-9eb6-4f01-a261-17e425c07305","pe-section","file"
"b263bdc1-e63f-44ec-bb81-b675f5031100",22497,"Payload delivery","sha1","1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d","",1,1595415851,"sha1","","46016d12-9eb6-4f01-a261-17e425c07305","pe-section","file"
"a48e0c83-d2e3-4950-bbd2-4938447f5c64",22497,"Payload delivery","sha256","ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7","",1,1595415852,"sha256","","46016d12-9eb6-4f01-a261-17e425c07305","pe-section","file"
"fb419d7c-3045-476e-9d2f-fea73449ef2a",22497,"Other","size-in-bytes",4096,"",0,1595415852,"size-in-bytes","","46016d12-9eb6-4f01-a261-17e425c07305","pe-section","file"
"840c4c2f-f9be-4b5a-8bef-25d648668d75",22497,"Other","float",0.0,"",0,1595415852,"entropy","","46016d12-9eb6-4f01-a261-17e425c07305","pe-section","file"
"71cb1b78-3e6f-4a3e-9169-534f9e3b2f86",22497,"Other","text",".rsrc","",0,1595415852,"name","","6e9e38e4-939a-4220-b055-ab3414f8b3ca","pe-section","file"
"d8186d00-5a1d-431f-8476-d81fb19a51fa",22497,"Payload delivery","md5","e3c56afe8f1802adcf58868633979a3a","",1,1595415852,"md5","","6e9e38e4-939a-4220-b055-ab3414f8b3ca","pe-section","file"
"84852576-b0d7-4a3a-b58e-c1d706226c03",22497,"Payload delivery","sha1","a469c58e4906c3e0cb591c6978445da1e8de5e35","",1,1595415852,"sha1","","6e9e38e4-939a-4220-b055-ab3414f8b3ca","pe-section","file"
"b473308d-9bd9-4498-9879-6c67d97234e0",22497,"Payload delivery","sha256","39f616261eb5b42252607e987dc0a51d90c6ca14f11e60498c0a004b6e1e028c","",1,1595415852,"sha256","","6e9e38e4-939a-4220-b055-ab3414f8b3ca","pe-section","file"
"ff8728fa-780a-444e-bf4a-b21b5f4c1ae8",22497,"Other","size-in-bytes",225280,"",0,1595415852,"size-in-bytes","","6e9e38e4-939a-4220-b055-ab3414f8b3ca","pe-section","file"
