uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"b6013d93-7439-4a55-a3e5-9ec25bd27492",35759,"Payload delivery","filename","fox.armv5","",0,1679329824,"","","","",""
"8614dd49-5e3a-43c3-8051-dd81de8cbbad",35759,"Payload delivery","md5","e404874f5d6ced1c32c368b61bb27512","",1,1679329824,"","","","",""
"9e9770d3-888d-42fd-b84d-39639021f004",35759,"Payload delivery","sha1","d23719fdab8bc095175df08171ea71061656d4ca","",1,1679329824,"","","","",""
"25f88cf2-a7df-41b5-a051-61891b0da00f",35759,"Payload delivery","sha256","b5e902a7911d343079a0349219dac595d1350f90b955d049a6ba3acf5580937f","",1,1679329824,"","","","",""
"313d122c-e1fb-41bb-9e23-84a55208f5d6",35759,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI5 version 1 (SYSV), statically linked, for GNU/Linux 3.2.0, stripped","",0,1679329824,"","","","",""
"41f4fa40-1f00-49f9-afb5-85189c6f508a",35759,"Network activity","url","http://193.35.18.163/binsAhxDflh/fox.armv5","",1,1679329824,"","","","",""
"b675664b-6d62-4b45-991a-1af23320562f",35759,"Network activity","ip-dst","193.35.18.163","",1,1679329824,"","","","",""
"364369d7-67a0-4cb5-88f8-555eb27e5916",35759,"External analysis","link","https://www.virustotal.com/gui/file/b5e902a7911d343079a0349219dac595d1350f90b955d049a6ba3acf5580937f/detection","",0,1679329824,"permalink","","5daaf05d-c098-455c-ac8d-5ac5aef942a4","virustotal-report","misc"
"45ab215b-4d68-403f-9159-96bdaa329d15",35759,"Other","datetime","2023-03-19T17:32:01.000000+0000","",0,1679329824,"last-submission","","5daaf05d-c098-455c-ac8d-5ac5aef942a4","virustotal-report","misc"
"6bac0c2f-cc7a-4a7b-94d0-2c6d23409b95",35759,"Other","text","4/61","",0,1679329824,"detection-ratio","","5daaf05d-c098-455c-ac8d-5ac5aef942a4","virustotal-report","misc"

