uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"57573471-c5a4-4dd3-8458-ba3b2835220b",14784,"Payload delivery","filename","emptyfilename.tmp","",0,1653080824,"","","","",""
"5ff20bdb-0aec-43af-ac24-c3e8627b27f7",14784,"Payload delivery","md5","1bf27f98d2b6480a6c89c7963d9e34a5","",1,1653080824,"","","","",""
"be3d5be7-1aa8-480b-89a1-dc8c62e27304",14784,"Payload delivery","sha1","e4b809914508c223a3d9db4ebfab1341282ddfba","",1,1653080824,"","","","",""
"766b310f-820e-49cc-9d5c-69cff2054cd1",14784,"Payload delivery","sha256","4c10e9e660a38027ed0293f3e3371f312010814d7897639575662c65fda8160e","",1,1653080824,"","","","",""
"fb60c5ff-0c01-4e5d-82a8-ef9209708b83",14784,"Payload delivery","mime-type","PE32+ executable (DLL) (GUI) x86-64, for MS Windows","",0,1653080824,"","","","",""
"8be9d815-b807-4457-b9ee-e1ed216dc6ba",14784,"Payload delivery","imphash","ad5c5b0f3e2e211c551f3b5059e614d7","",0,1653080824,"","","","",""
"39110a11-99d6-4c63-a9b7-de7781012b15",14784,"Network activity","url","https://bencevendeghaz.hu/wp-includes/tXQBsglNOIsunk/","",1,1653080824,"","","","",""
"e84cfcaa-a85f-4274-b2c3-c2fc487e6840",14784,"Network activity","domain","bencevendeghaz.hu","",1,1653080824,"","","","",""
"e9ee7257-23b5-44e9-a668-1329aa7dc212",14784,"Other","text",".text","",0,1653080825,"name","","0f04c588-6442-4cc2-96f8-fc2069734471","pe-section","file"
"8b327d18-1f8c-4dbb-b5ff-dbf586a84e5e",14784,"Payload delivery","md5","f22dc138010de2cbd14dc793a69e6873","",1,1653080825,"md5","","0f04c588-6442-4cc2-96f8-fc2069734471","pe-section","file"
"61c1fe43-e1a2-41af-936f-e3da0e8f633c",14784,"Payload delivery","sha1","0c47b03ae9043256203f11b84ecc66b37a10cff4","",1,1653080825,"sha1","","0f04c588-6442-4cc2-96f8-fc2069734471","pe-section","file"
