uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"fd53c35b-f21d-42d1-9e23-77045c32e8aa",11803,"Payload delivery","filename","sora.x86","",0,1651230903,"","","","",""
"593f0189-8af9-4a43-b6db-8f248369ffa1",11803,"Payload delivery","md5","a28e8b69ca7bf29ba7deca0c3184a855","",1,1651230903,"","","","",""
"534e6823-616e-4d00-af55-34c76f46d1fd",11803,"Payload delivery","sha1","cfb9e7d757404230fbb65a767c2edb08e28f4e91","",1,1651230903,"","","","",""
"7bed0928-6c49-496d-b06b-982dfe7093f9",11803,"Payload delivery","sha256","df33930185ef2dd864472ac26018a45f8da26d0f4ef377ab569e28ee2f4584a3","",1,1651230903,"","","","",""
"03f32915-4734-498e-ba68-dab536485170",11803,"Payload delivery","mime-type","ELF 32-bit LSB executable, Intel 80386, version 1 (GNU/Linux), statically linked, no section header","",0,1651230903,"","","","",""
"a2d86fa8-151b-4cd8-b5c6-8ae5c7021bf2",11803,"Network activity","url","http://192.241.133.183/bins/sora.x86","",1,1651230903,"","","","",""
"94518dee-9d62-4df8-81d2-62299cf0190d",11803,"Network activity","ip-dst","192.241.133.183","",1,1651230903,"","","","",""
"79e2c0a2-f6fa-4f93-b5eb-9b9845d12567",11803,"External analysis","link","https://www.virustotal.com/gui/file/df33930185ef2dd864472ac26018a45f8da26d0f4ef377ab569e28ee2f4584a3/detection","",0,1651230903,"permalink","","6e48f028-eb94-4853-a963-c0910a44c7dd","virustotal-report","misc"
"1094c33f-1e1c-4a92-b295-2c31b6268df0",11803,"Other","datetime","2022-04-29T10:52:48.000000+0000","",0,1651230903,"last-submission","","6e48f028-eb94-4853-a963-c0910a44c7dd","virustotal-report","misc"
"62cbe00f-1d08-46d2-8be8-6223171a33d3",11803,"Other","text","21/61","",0,1651230903,"detection-ratio","","6e48f028-eb94-4853-a963-c0910a44c7dd","virustotal-report","misc"

