uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"e2201e01-c70c-4935-8570-277daa9030b5",28997,"Payload delivery","filename","ec3.js","",0,1669070703,"","","","",""
"8ce99bf2-8aef-45c3-8834-3e8564a794ae",28997,"Payload delivery","md5","4275fe5bbdf342cedc047dda2ba18bbb","",1,1669070703,"","","","",""
"ce15d401-bca8-4d44-8599-756f834e720d",28997,"Payload delivery","sha1","551d27f2a9bc5cb6e7feaf78b5e292eeed87b669","",1,1669070703,"","","","",""
"6eb71b63-1836-44af-95ab-79f8727f9132",28997,"Payload delivery","sha256","631b7c4090249de5d0d724216d306f62d741db11710ef19fd574c1f29aace7ee","",1,1669070703,"","","","",""
"82ae3b62-bfce-45ad-868b-f79daa181d85",28997,"Payload delivery","mime-type","UTF-8 Unicode text, with CRLF line terminators","",0,1669070703,"","","","",""
"5908874e-a312-47a0-866a-9e428ae8a02d",28997,"Network activity","url","https://efight.jp/wp-content/plugins/eventcalendar3/ec3.js","",1,1669070703,"","","","",""
"55e5ed08-e425-4716-8a2e-231eb304088a",28997,"Network activity","domain","efight.jp","",1,1669070703,"","","","",""
"7978655e-206c-4a34-bfd5-b1dafb3f227a",28997,"External analysis","link","https://www.virustotal.com/gui/file/631b7c4090249de5d0d724216d306f62d741db11710ef19fd574c1f29aace7ee/detection","",0,1669070703,"permalink","","865010e5-76a6-4eb9-b774-3003df5c5e90","virustotal-report","misc"
"a0ad5b5d-8caf-45b9-810c-c1c5823ba3f8",28997,"Other","datetime","2022-11-19T00:28:08.000000+0000","",0,1669070703,"last-submission","","865010e5-76a6-4eb9-b774-3003df5c5e90","virustotal-report","misc"
"7bb01b39-f324-4f04-b9fe-0af3b7d68ddf",28997,"Other","text","0/61","",0,1669070703,"detection-ratio","","865010e5-76a6-4eb9-b774-3003df5c5e90","virustotal-report","misc"

