uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"2fed1d79-fb03-48cc-bd05-cc061aa00dfe",42463,"Payload delivery","filename","gang123isgodloluaintgettingthesebinslikedammwtf.ppc","",0,1685990944,"","","","",""
"758bbeba-8705-473a-881a-d0b70d9da184",42463,"Payload delivery","md5","e8324866c30ef8992c8313d0ee96878c","",1,1685990944,"","","","",""
"6970eb50-3841-43c1-8d76-b1f28e38f1e2",42463,"Payload delivery","sha1","0767132c37d219b6f684da0a9c1a33c51bbf9dc0","",1,1685990944,"","","","",""
"cbe6e6cd-4350-43f1-8753-0938b1e667da",42463,"Payload delivery","sha256","a997b300359c517fa31e0c18075e3753f15b5c8d579411308b96bad8344e14cd","",1,1685990944,"","","","",""
"aa29fdf7-8850-4495-8467-10d398163cd4",42463,"Payload delivery","mime-type","application/x-executable","",0,1685990944,"","","","",""
"d0703091-7a95-4c32-ae94-f27fed7bae5b",42463,"Network activity","url","http://66.228.62.161/bns/gang123isgodloluaintgettingthesebinslikedammwtf.ppc","",1,1685990944,"","","","",""
"4ee243ab-d918-4233-9dd0-69ca29897aab",42463,"Network activity","ip-dst","66.228.62.161","",1,1685990944,"","","","",""
"1060206f-b605-4b18-adef-19edcd6b26d9",42463,"External analysis","link","https://www.virustotal.com/gui/file/a997b300359c517fa31e0c18075e3753f15b5c8d579411308b96bad8344e14cd/detection","",0,1685990944,"permalink","","84b4af35-7ea6-4123-a4a8-1e95acd36858","virustotal-report","misc"
"11c4d598-431a-4802-98d6-ccf18befd175",42463,"Other","datetime","2023-06-05T18:25:21.000000+0000","",0,1685990944,"last-submission","","84b4af35-7ea6-4123-a4a8-1e95acd36858","virustotal-report","misc"
"ad216e58-bcb2-4ce5-bc9d-3144a8f3ed41",42463,"Other","text","40/61","",0,1685990944,"detection-ratio","","84b4af35-7ea6-4123-a4a8-1e95acd36858","virustotal-report","misc"

