uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"2ac1e3e2-242e-40e0-be99-51fa8e5cbc23",33139,"Payload delivery","filename","azienda_10.rar","",0,1675765748,"","","","",""
"51c8e39b-9aa4-420a-993d-6297773c680a",33139,"Payload delivery","md5","ebb9011f9184b741a5df7136e888e6d7","",1,1675765748,"","","","",""
"28e12f1a-be2e-489b-aa90-497a3f3a6536",33139,"Payload delivery","sha1","e306ce3d2d79076b4fb626219c3e953f820babea","",1,1675765748,"","","","",""
"469f8262-61f3-4c88-9312-42f97f8fa8d0",33139,"Payload delivery","sha256","c9e15c7ba0a8f6eb91ac91cc68cf0f41ba574e480f5bff89c70dfb21505e1e8b","",1,1675765748,"","","","",""
"e617cf6d-d69e-46e6-b872-339b4930ef93",33139,"Payload delivery","mime-type","RAR archive data, v5","",0,1675765748,"","","","",""
"e5aa15e1-ce44-4f3e-99e2-20a081e40a09",33139,"Network activity","url","https://segzrecords.com/wp-content/plugins/press/azienda/azienda_10.rar","",1,1675765748,"","","","",""
"b3ec3b7c-0266-44ee-98ae-0c1c544aea5b",33139,"Network activity","domain","segzrecords.com","",1,1675765748,"","","","",""
"d1d869f1-1b88-4291-bdd7-236d011b1946",33139,"External analysis","link","https://www.virustotal.com/gui/file/c9e15c7ba0a8f6eb91ac91cc68cf0f41ba574e480f5bff89c70dfb21505e1e8b/detection","",0,1675765749,"permalink","","dfc87a84-009b-4365-b2e5-226ab0baeace","virustotal-report","misc"
"9c3d38d1-e16e-421b-a8ad-2a1c39f33be0",33139,"Other","datetime","2023-02-07T10:06:53.000000+0000","",0,1675765749,"last-submission","","dfc87a84-009b-4365-b2e5-226ab0baeace","virustotal-report","misc"
"171e6c33-2104-4f38-8d36-c9fb514aded0",33139,"Other","text","1/60","",0,1675765749,"detection-ratio","","dfc87a84-009b-4365-b2e5-226ab0baeace","virustotal-report","misc"

