uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"683003c7-7499-4e8c-a317-9cfcea12984e",33143,"Payload delivery","filename","x-8.6-.GHOUL","",0,1600194888,"","","","",""
"ffaa6d3a-9f53-430e-9131-6bdd4d75b824",33143,"Payload delivery","md5","6b22398c5b654dd6f1a4eebd01c507b4","",1,1600194888,"","","","",""
"7b6eb780-b0ec-43c7-8103-cbad48d52160",33143,"Payload delivery","sha1","5fc42f46162b647c98fd2c089e480a5891b72d9b","",1,1600194888,"","","","",""
"2c9764b5-2557-404f-98d2-2b7601db2e44",33143,"Payload delivery","sha256","1d6d4dcd705528198b095c63c9fc22247083c730cbf0ec97de3180c4f4bcee7e","",1,1600194888,"","","","",""
"51bb60b5-42c7-4ca1-821b-acde8100bbf6",33143,"Payload delivery","mime-type","ELF 64-bit LSB executable, x86-64, version 1 (SYSV), statically linked, not stripped","",0,1600194888,"","","","",""
"db8ec5b5-9696-443e-8d12-cf9040a6d53b",33143,"Network activity","url","http://62.171.138.253/x-8.6-.GHOUL","",1,1600194888,"","","","",""
"89dc0462-86c7-4d1e-8fd6-91bab4ccdb12",33143,"Network activity","ip-dst","62.171.138.253","",1,1600194888,"","","","",""
"142540eb-2ce6-43d3-8867-3bb8e9fcced1",33143,"External analysis","link","https://www.virustotal.com/gui/file/1d6d4dcd705528198b095c63c9fc22247083c730cbf0ec97de3180c4f4bcee7e/detection","",0,1600194889,"permalink","","634373cc-99bd-437f-be7c-3250ee1d58b2","virustotal-report","misc"
"dc6b67f9-948c-4989-95f4-9b10d00c11f0",33143,"Other","datetime","2020-09-12T11:30:11.000000+0000","",0,1600194889,"last-submission","","634373cc-99bd-437f-be7c-3250ee1d58b2","virustotal-report","misc"
"8d7715c2-76e6-4cd1-8984-af1dc165d436",33143,"Other","text","29/59","",0,1600194889,"detection-ratio","","634373cc-99bd-437f-be7c-3250ee1d58b2","virustotal-report","misc"

