uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"e9835bb6-de49-49e9-96df-974f39d6ea5f",39985,"Payload delivery","filename","x86","",0,1683529327,"","","","",""
"91bd33dc-cf9d-43d5-b16e-8010a7b2864f",39985,"Payload delivery","md5","70da98591385e66f27d23287df60fe97","",1,1683529327,"","","","",""
"36a5e72e-31ce-4f4c-9847-e5e05d5006f3",39985,"Payload delivery","sha1","68cfe28fffb47d14273bdb881338f2424b97445d","",1,1683529327,"","","","",""
"9519aaa0-d8b5-49ff-8d4a-f48d14d08e4f",39985,"Payload delivery","sha256","2784d5a3a712ef3dbe5e84d8a0e48fec73c6f9300dc153cb171f1f206e09ad1f","",1,1683529327,"","","","",""
"1e5f0928-9c59-4aca-94b0-a53da56b7644",39985,"Payload delivery","mime-type","ELF 32-bit LSB executable, Intel 80386, version 1 (SYSV), statically linked, stripped","",0,1683529327,"","","","",""
"e02c0987-6ea2-4c3b-8bca-157e30153f5e",39985,"Network activity","url","http://103.179.188.130/x86","",1,1683529327,"","","","",""
"8e3db034-2f34-47e5-925a-d250e0a24e11",39985,"Network activity","ip-dst","103.179.188.130","",1,1683529327,"","","","",""
"e20262ef-c2c1-4556-9a51-866b95e61099",39985,"External analysis","link","https://www.virustotal.com/gui/file/2784d5a3a712ef3dbe5e84d8a0e48fec73c6f9300dc153cb171f1f206e09ad1f/detection","",0,1683529327,"permalink","","f0799c32-e1fe-4901-bc1f-c9c9c71f25a0","virustotal-report","misc"
"a5eac746-920c-4d28-ad1d-20168e8add79",39985,"Other","datetime","2023-05-08T06:29:14.000000+0000","",0,1683529327,"last-submission","","f0799c32-e1fe-4901-bc1f-c9c9c71f25a0","virustotal-report","misc"
"92b08e3b-b830-4495-8275-a9fe1a9d11de",39985,"Other","text","37/61","",0,1683529327,"detection-ratio","","f0799c32-e1fe-4901-bc1f-c9c9c71f25a0","virustotal-report","misc"

