uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"1efa9eb3-3d07-4070-889b-39e860cc5d1c",33532,"Payload delivery","filename","x86_64","",0,1677218287,"","","","",""
"25d50406-3e64-4b2c-bf8e-e561757929b8",33532,"Payload delivery","md5","7b007026f40be59754732b9028ad35dc","",1,1677218287,"","","","",""
"bcf04050-1e0b-49b5-a717-019d57d9ffaa",33532,"Payload delivery","sha1","72140690ebb65f82f09a4bc6de4c4aed7660d8e5","",1,1677218287,"","","","",""
"1ae4f8e1-7695-46e0-b253-55b824ca7ab6",33532,"Payload delivery","sha256","83554a055a555c06f90290b7e8de23e11b1527e03da94d0a128fb2ca9648668c","",1,1677218287,"","","","",""
"6c7f7f42-5e43-4504-a086-2ab715c900f0",33532,"Payload delivery","mime-type","ELF 64-bit LSB executable, x86-64, version 1 (SYSV), statically linked, stripped","",0,1677218287,"","","","",""
"52b6e6ca-1039-475a-9d90-f3a65da9799f",33532,"Network activity","url","http://193.42.33.21/x86_64","",1,1677218287,"","","","",""
"a0392eba-00b6-4e61-b489-cf0abf3e0ba7",33532,"Network activity","ip-dst","193.42.33.21","",1,1677218287,"","","","",""
"ade78bbb-b1ad-4bdc-8453-7b01d9a0a21c",33532,"External analysis","link","https://www.virustotal.com/gui/file/83554a055a555c06f90290b7e8de23e11b1527e03da94d0a128fb2ca9648668c/detection","",0,1677218287,"permalink","","abd5f3c6-1b28-440e-9c54-be29ac1f0076","virustotal-report","misc"
"2851d97f-6506-4e2f-b32f-c5f6140a7b61",33532,"Other","datetime","2023-02-23T16:04:24.000000+0000","",0,1677218287,"last-submission","","abd5f3c6-1b28-440e-9c54-be29ac1f0076","virustotal-report","misc"
"5a70b3dd-97cc-4f68-90b5-b4ee2d0193a4",33532,"Other","text","37/60","",0,1677218287,"detection-ratio","","abd5f3c6-1b28-440e-9c54-be29ac1f0076","virustotal-report","misc"

