uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"45f15864-fb04-4625-8a82-497afd4a2557",21549,"Payload delivery","filename","KMS.msi","",0,1661553187,"","","","",""
"cd248fac-33dc-478d-8547-a3b884f2112b",21549,"Payload delivery","md5","b06879fc84a67729576103696f168ac6","",1,1661553187,"","","","",""
"e49fffee-135e-45bd-afe0-942923eb2dfb",21549,"Payload delivery","sha1","a2a75023d8aa17c323c528492a5b495486c5ea92","",1,1661553187,"","","","",""
"d7694aae-4360-48bf-9493-d76cb9ca8853",21549,"Payload delivery","sha256","7e175498d7845a1f298d475ebe3e5d194ccfa8fea452f05063f5b7f013d02b5d","",1,1661553187,"","","","",""
"d96dda53-998b-4a4a-8696-14886217104d",21549,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1661553187,"","","","",""
"9815afef-2044-4b23-ac42-9900717569ac",21549,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1661553187,"","","","",""
"3bcbf017-a755-429e-8155-dc5c77e33539",21549,"Network activity","url","http://purposedesigns.net:443/KMS.msi","",1,1661553187,"","","","",""
"0c811a58-5569-4ffb-b22f-176426cc66cb",21549,"Network activity","domain","purposedesigns.net","",1,1661553187,"","","","",""
"dd1b2312-e682-4ad6-a195-251daafb84f9",21549,"Other","text",".text","",0,1661553188,"name","","e0c79046-afd6-45a4-ab25-c57d9bb6e162","pe-section","file"
"b39dca24-a1d5-4dbb-bac9-737b8ee39acd",21549,"Payload delivery","md5","dd6507993330dd6b40fb16c38b35b303","",1,1661553188,"md5","","e0c79046-afd6-45a4-ab25-c57d9bb6e162","pe-section","file"
"cff539ed-d422-4e81-a716-a5ec3cac3c49",21549,"Payload delivery","sha1","cbe113d171ee66337daf703b671335ddc70157ab","",1,1661553188,"sha1","","e0c79046-afd6-45a4-ab25-c57d9bb6e162","pe-section","file"
"d57e6bb9-6d66-4af8-b09f-23f8ff1cd38c",21549,"Payload delivery","sha256","319431f299bd2a61cafb91777abbce1bd394bea39b08159effe0e57f84a5b23a","",1,1661553188,"sha256","","e0c79046-afd6-45a4-ab25-c57d9bb6e162","pe-section","file"
"be0f80b5-84b6-42e2-b133-35970de01ce5",21549,"Other","size-in-bytes",151040,"",0,1661553188,"size-in-bytes","","e0c79046-afd6-45a4-ab25-c57d9bb6e162","pe-section","file"
"6f6fbde1-7bba-4fcb-80b7-7e2fbf5c9a0d",21549,"Other","float",6.02013,"",0,1661553188,"entropy","","e0c79046-afd6-45a4-ab25-c57d9bb6e162","pe-section","file"
"14ddeb39-4e95-4838-9667-9a628bd9ceb1",21549,"Other","text",".rsrc","",0,1661553188,"name","","4d5cfd59-edcd-4d87-9aaa-5c96b1deef18","pe-section","file"
"4ceb40e1-d90b-4fd4-bf35-7f5a812a637b",21549,"Payload delivery","md5","a06e1d242f129eaedeba23f6c4cd867f","",1,1661553188,"md5","","4d5cfd59-edcd-4d87-9aaa-5c96b1deef18","pe-section","file"
"943cc470-a845-4a4f-8a30-a55bc5676ccd",21549,"Payload delivery","sha1","733c8e347fdae86f44cf572f85baeb95d481ff05","",1,1661553188,"sha1","","4d5cfd59-edcd-4d87-9aaa-5c96b1deef18","pe-section","file"
"03c96397-7d6e-48d3-bf5c-b51de2e18247",21549,"Payload delivery","sha256","4030e803d89a3cf0a17f9ea95d2d389bbcf35a384d4a75c63f3f642bf95d716b","",1,1661553188,"sha256","","4d5cfd59-edcd-4d87-9aaa-5c96b1deef18","pe-section","file"
"fc031372-ba16-49dd-b745-fc71c950b1b6",21549,"Other","size-in-bytes",1024,"",0,1661553188,"size-in-bytes","","4d5cfd59-edcd-4d87-9aaa-5c96b1deef18","pe-section","file"
"98dc52e7-db0d-484a-84d9-50b993a30ed0",21549,"Other","float",3.54402,"",0,1661553188,"entropy","","4d5cfd59-edcd-4d87-9aaa-5c96b1deef18","pe-section","file"
"dd466171-e497-4c23-b5f8-1ea75a74469d",21549,"Other","text",".reloc","",0,1661553188,"name","","c4ead41f-30b7-4eba-9a71-fd312d5ac636","pe-section","file"
"87e0a2d8-fa9c-4fd1-8d40-577045a59e3d",21549,"Payload delivery","md5","02ec6a6b6cbf327f81731a721175cbe1","",1,1661553188,"md5","","c4ead41f-30b7-4eba-9a71-fd312d5ac636","pe-section","file"
"b4e4eaa8-fe5a-4b9b-9e4c-7f29d92f0f2c",21549,"Payload delivery","sha1","529d3808722c6dfe21774d0ce8f1e2aa0de78152","",1,1661553188,"sha1","","c4ead41f-30b7-4eba-9a71-fd312d5ac636","pe-section","file"
"05f09ed3-b0f3-47ab-b2a4-3c887d65815d",21549,"Payload delivery","sha256","51dbdd791cff1510b8e032b0ab66b63c277fbc3439917da42d891024a01a2329","",1,1661553188,"sha256","","c4ead41f-30b7-4eba-9a71-fd312d5ac636","pe-section","file"
"8b88f077-625f-4754-a3b1-33f82554afcc",21549,"Other","size-in-bytes",512,"",0,1661553188,"size-in-bytes","","c4ead41f-30b7-4eba-9a71-fd312d5ac636","pe-section","file"
"ba25e3c6-f5ef-406a-965a-14c4180e229a",21549,"Other","float",0.10191,"",0,1661553188,"entropy","","c4ead41f-30b7-4eba-9a71-fd312d5ac636","pe-section","file"
