uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"81c96002-f765-40c1-ab3b-2e1179240b71",21630,"Payload delivery","filename","mil","",0,1712257028,"","","","",""
"beb7c829-ba08-4ac9-89be-b9e084ec5da9",21630,"Payload delivery","md5","931def4833a0dd417683fffdee7fc426","",1,1712257028,"","","","",""
"053b2165-1452-43ed-9ba2-fdd7e6521d50",21630,"Payload delivery","sha1","276f0d1628e5d81fde00839a6d82862d9f481bd8","",1,1712257028,"","","","",""
"e407d897-8f21-4d7e-b4ec-d3e9cd0bd809",21630,"Payload delivery","sha256","4ee6fc39c565289ba7659d15a3e773cb6ce8602e233ba29048a46f6c5cc8d156","",1,1712257028,"","","","",""
"ce10ace3-d0af-44a4-bdd8-333aac44a921",21630,"Payload delivery","mime-type","application/x-executable","",0,1712257028,"","","","",""
"bb3c05bd-91e4-4f84-a21f-1cb01455dcc5",21630,"Network activity","url","http://91.92.245.11/mil","",1,1712257028,"","","","",""
"74b987b0-c9b2-4547-aaf4-0ee76a9ddc19",21630,"Network activity","ip-dst","91.92.245.11","",1,1712257028,"","","","",""
"88607508-a9e9-404c-999b-281f1adbde6e",21630,"Network activity","url","http://94.156.64.230/mil","",1,1712405342,"","","","",""
"65a10715-4541-4acc-9c55-32eaf1ae7e85",21630,"Network activity","ip-dst","94.156.64.230","",1,1712405342,"","","","",""
"48b33a17-8d2e-43db-a87f-ac7cd640e281",21630,"Network activity","url","http://91.92.240.77/mil","",1,1712608683,"","","","",""
"75c21945-54b2-466a-9bc8-7a0dabab5ade",21630,"Network activity","ip-dst","91.92.240.77","",1,1712608683,"","","","",""

