uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"56a0bdad-e8e8-48d0-a2b0-cd7fca08b234",8296,"Payload delivery","filename","sora.arm7","",0,1694241187,"","","","",""
"10b8ff34-2ec4-4281-8599-bb38d4d355df",8296,"Payload delivery","md5","243604927068293ad4436b6a102669a1","",1,1694241187,"","","","",""
"0c110d69-105c-4908-8308-a485890dc0fe",8296,"Payload delivery","sha1","7e9f62d7e8199d19a26a4784cb56404fe920b255","",1,1694241187,"","","","",""
"8c100458-2eef-4039-a2b5-4f207e64519a",8296,"Payload delivery","sha256","82b673b86d6914e009c4a3b3942a2f0c4de042a5b69b08b5e60974aca0dbd7d9","",1,1694241187,"","","","",""
"67ade0f7-64f5-4e25-979f-7fa11028f3ae",8296,"Payload delivery","mime-type","application/x-executable","",0,1694241187,"","","","",""
"1987901d-6b1a-409f-8809-e704986e2472",8296,"Network activity","url","http://89.32.41.127/bins/sora.arm7","",1,1694241187,"","","","",""
"75ca009c-e44d-4400-9af3-7b16b03944ec",8296,"Network activity","ip-dst","89.32.41.127","",1,1694241187,"","","","",""
"223b6101-9965-4ae5-8861-23a0a2c8f1f8",8296,"External analysis","link","https://www.virustotal.com/gui/file/82b673b86d6914e009c4a3b3942a2f0c4de042a5b69b08b5e60974aca0dbd7d9/detection","",0,1694241188,"permalink","","ae4be8fd-37c4-40e5-8e20-18487a36e47e","virustotal-report","misc"
"cf8bc177-824c-4e2c-afd5-1f89a107ffbc",8296,"Other","datetime","2023-09-08T22:31:10.000000+0000","",0,1694241188,"last-submission","","ae4be8fd-37c4-40e5-8e20-18487a36e47e","virustotal-report","misc"
"be2c6529-dcd6-4760-9238-79149e8e92e6",8296,"Other","text","35/61","",0,1694241188,"detection-ratio","","ae4be8fd-37c4-40e5-8e20-18487a36e47e","virustotal-report","misc"

