uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"0deb4907-3991-48d4-a678-90239aadb335",54074,"Payload delivery","filename","bin.sh","",0,1618924162,"","","","",""
"925275f8-d9fb-4032-945f-b6a9b7d7f50f",54074,"Payload delivery","md5","1af4de72c3ecf9b8b42f585232da79ff","",1,1618924162,"","","","",""
"4fcb85bb-27eb-429a-aaa1-eb58564acae0",54074,"Payload delivery","sha1","c7329de7741529b10c49a0aae595fdbf6ed59374","",1,1618924162,"","","","",""
"f74747c3-69aa-48c8-9e7f-d01ee75d89f1",54074,"Payload delivery","sha256","ad23d3c3a70c722f36f005a0660fe2dbf6385fc6da6c799d0feb81599dd7e341","",1,1618924162,"","","","",""
"9cac5d68-6c45-467f-8afe-b9c53cf1ee30",54074,"Payload delivery","mime-type","ELF 32-bit MSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, no section header","",0,1618924162,"","","","",""
"0154eebc-5589-4448-b904-1f5ec0120603",54074,"Network activity","url","http://117.194.163.66:36789/bin.sh","",1,1618924162,"","","","",""
"65b0761b-40de-4445-b9c0-0c77243f51a5",54074,"Network activity","ip-dst","117.194.163.66","",1,1618924162,"","","","",""
"f428e0db-689f-476e-b3a0-fc1d3c65f706",54074,"Payload delivery","filename","i","",0,1618926505,"","","","",""
"0cd46b8f-7007-41f9-af1e-5383ba9e9026",54074,"Payload delivery","filename","Mozi.m","",0,1618936593,"","","","",""
"66d61466-be6f-4a86-9e20-924fa19c6557",54074,"Network activity","url","http://117.194.163.66:36789/i","",1,1618936593,"","","","",""
"c50e65de-95dd-4451-ac78-0597ae619a29",54074,"Payload delivery","filename","Mozi.a","",0,1627780569,"","","","",""
"7d86864f-5088-4fc8-a382-058b32c8936e",54074,"Network activity","url","http://117.194.163.66:36789/Mozi.m","",1,1627780569,"","","","",""
"584e87f3-af4a-4980-a757-bb1d0e8d0065",54074,"Network activity","url","http://117.215.210.21:59577/Mozi.a","",1,1629979329,"","","","",""
"08ce803b-5b58-4f7f-8815-3fc53083498f",54074,"Network activity","ip-dst","117.215.210.21","",1,1629979329,"","","","",""
"ac07f378-ba0d-4fed-b207-4511b3045160",54074,"Network activity","url","http://59.89.208.198:54212/Mozi.m","",1,1630469532,"","","","",""
"f5a764ff-0ba4-4fb6-bb55-121548fb9503",54074,"Network activity","ip-dst","59.89.208.198","",1,1630469532,"","","","",""
"c348f179-34cd-4236-846d-f278b49d6f2c",54074,"Network activity","url","http://115.63.185.198:43811/Mozi.m","",1,1631710989,"","","","",""
"3c26a9b9-cc89-4135-9c4b-cc4155e46d98",54074,"Network activity","ip-dst","115.63.185.198","",1,1631710989,"","","","",""
"a35cb858-e713-40a8-ab9f-7e1544c90e4c",54074,"Network activity","url","http://186.33.79.61:49069/Mozi.m","",1,1632015428,"","","","",""
"c7429c30-83d5-4879-bfb4-7790a94fa6b6",54074,"Network activity","ip-dst","186.33.79.61","",1,1632015428,"","","","",""
"4d4910ab-6a7c-437e-acf3-ea8a9c0fd29f",54074,"Network activity","url","http://59.94.204.232:39133/bin.sh","",1,1632017588,"","","","",""
"97102ad9-09f9-4e1f-abf2-38bf6a449ab4",54074,"Network activity","ip-dst","59.94.204.232","",1,1632017589,"","","","",""
"4a2cce17-220c-41b7-8121-ef441f950e4b",54074,"Network activity","url","http://59.94.204.232:39133/i","",1,1633826415,"","","","",""
"e6b92029-0910-4089-9dba-dfc3e5144f0c",54074,"Network activity","url","http://59.89.211.78:49745/Mozi.m","",1,1635844787,"","","","",""
"a4b2bae2-09d6-48fb-adf8-ea804d47bba9",54074,"Network activity","ip-dst","59.89.211.78","",1,1635844787,"","","","",""
"00ae2b61-2e21-44f4-b9ca-ba09367f9eca",54074,"External analysis","link","https://www.virustotal.com/gui/file/ad23d3c3a70c722f36f005a0660fe2dbf6385fc6da6c799d0feb81599dd7e341/detection","",0,1618924163,"permalink","","cb1ed2ad-cba4-4ca2-8458-ecff766aff3d","virustotal-report","misc"
"ba050ab8-8064-41e4-ae5e-19ce4da9b800",54074,"Other","datetime","2021-04-20T11:41:26.000000+0000","",0,1618924163,"last-submission","","cb1ed2ad-cba4-4ca2-8458-ecff766aff3d","virustotal-report","misc"
"9a894f56-3790-41f3-9adc-3d09fac4aa7f",54074,"Other","text","36/61","",0,1618924163,"detection-ratio","","cb1ed2ad-cba4-4ca2-8458-ecff766aff3d","virustotal-report","misc"

