uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"10cbf389-96ae-4c70-b865-41935c250791",36642,"Payload delivery","filename","document.doc","",0,1604581452,"","","","",""
"1c1d2a1a-255c-4461-a9dc-3c5c4048a23b",36642,"Payload delivery","md5","7fbbd3038fcb18fba29a100ed36821ad","",1,1604581452,"","","","",""
"e8c873fc-9cc1-471e-a7b8-3c9860783f49",36642,"Payload delivery","sha1","71cc266a7f1ddd0b5b968e267cdf51776e0e7b55","",1,1604581452,"","","","",""
"ac7de438-cc93-42a9-a496-261e5808735e",36642,"Payload delivery","sha256","5806ff817e0b0c3c57e727b04c77411487179c3676150f3f1cf536d3fac33fa5","",1,1604581452,"","","","",""
"1913ee4e-c272-4f13-b7fe-51a868e60d27",36642,"Payload delivery","mime-type","Rich Text Format data, unknown version","",0,1604581452,"","","","",""
"bb95ba58-7525-47d1-8cd2-e13a2e75ee25",36642,"Network activity","url","http://qdrenfa.com/~zadmin/ban2/document.doc","",1,1604581453,"","","","",""
"c553e3a4-90a2-457f-adca-1644adf0bb19",36642,"Network activity","domain","qdrenfa.com","",1,1604581453,"","","","",""
"4f410c63-94ab-453c-8338-259e02952dca",36642,"External analysis","link","https://www.virustotal.com/gui/file/5806ff817e0b0c3c57e727b04c77411487179c3676150f3f1cf536d3fac33fa5/detection","",0,1604581453,"permalink","","d06d2601-00fc-4d8c-a78d-b24f0790f343","virustotal-report","misc"
"7411ddc9-5af6-4bf6-8c80-19fb719a308b",36642,"Other","datetime","2020-11-05T11:28:01.000000+0000","",0,1604581453,"last-submission","","d06d2601-00fc-4d8c-a78d-b24f0790f343","virustotal-report","misc"
"a8e586be-e2a2-4a06-bf30-69fd79be2cd3",36642,"Other","text","24/62","",0,1604581453,"detection-ratio","","d06d2601-00fc-4d8c-a78d-b24f0790f343","virustotal-report","misc"

