uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"cda6cf2c-2ffe-4aa6-9a59-1627a7d9607e",21488,"Payload delivery","filename","xz.sh4","",0,1661517843,"","","","",""
"11a2fca1-c822-43d4-86c6-fec3e573df89",21488,"Payload delivery","md5","d575cad2cccde139c16635768cca76db","",1,1661517843,"","","","",""
"9c6db40f-9ab4-4c53-9235-486f62e65e52",21488,"Payload delivery","sha1","f63ae0bbc7e7abcb3672bd688d95942be8abc98b","",1,1661517843,"","","","",""
"c9dd71fb-867c-4249-bb60-d5d84ebe5b86",21488,"Payload delivery","sha256","caeb7156cb2f782dc2f54e20d477eba11c65d80b681f5464f584d6b720f6ac84","",1,1661517843,"","","","",""
"5e4ddef4-8bea-43ef-a356-3d658d5cdbf3",21488,"Payload delivery","mime-type","ELF 32-bit LSB executable, Renesas SH, version 1 (SYSV), statically linked, stripped","",0,1661517843,"","","","",""
"9d72985a-bee3-42dd-9ec5-f5ca103aeca0",21488,"Network activity","url","http://163.172.222.185/xz.sh4","",1,1661517843,"","","","",""
"63a10657-3fa2-4119-98ef-382e61263643",21488,"Network activity","ip-dst","163.172.222.185","",1,1661517843,"","","","",""
"796bfb65-4106-4e45-8f0b-fbbcf989c50b",21488,"External analysis","link","https://www.virustotal.com/gui/file/caeb7156cb2f782dc2f54e20d477eba11c65d80b681f5464f584d6b720f6ac84/detection","",0,1661517843,"permalink","","a2d3ceb7-9e65-406c-9c23-67bbb2ef19aa","virustotal-report","misc"
"645c6dff-0de0-46e6-bde0-f36d4c8e0e33",21488,"Other","datetime","2022-08-23T23:55:27.000000+0000","",0,1661517843,"last-submission","","a2d3ceb7-9e65-406c-9c23-67bbb2ef19aa","virustotal-report","misc"
"8fca21be-586f-4244-9f19-0f9862eeec64",21488,"Other","text","42/62","",0,1661517843,"detection-ratio","","a2d3ceb7-9e65-406c-9c23-67bbb2ef19aa","virustotal-report","misc"

