uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"94908e5d-899d-4923-a0bb-926e761726f3",5302,"Payload delivery","filename","sora.mpsl","",0,1689527763,"","","","",""
"b63f105c-eaba-4107-bf5a-cc33f315b296",5302,"Payload delivery","md5","6ab4791e78f8d90d2978a69b0a90ddfe","",1,1689527763,"","","","",""
"016dd462-a78c-4b3f-a3cd-c663bd85d39e",5302,"Payload delivery","sha1","d2edf51b60d6ff0b708943bddaecafadcbebdc79","",1,1689527763,"","","","",""
"1cc60cee-d137-498f-8fb7-4d2fd38ad51d",5302,"Payload delivery","sha256","5b2596b94f8475582ace1fcc719f15ab68428a4687e442e65885089f7c24d5d3","",1,1689527763,"","","","",""
"61f3d183-9340-46d2-85bd-6b4aedab7f8f",5302,"Payload delivery","mime-type","application/x-executable","",0,1689527763,"","","","",""
"5acb2c0f-5973-4fbd-8dfb-fc883e61b644",5302,"Network activity","url","http://87.120.88.181/bins/sora.mpsl","",1,1689527763,"","","","",""
"cc7ef8e3-3227-47eb-b90b-8997bcfbcf7f",5302,"Network activity","ip-dst","87.120.88.181","",1,1689527763,"","","","",""
"b3727cfb-3543-4f1a-adfb-49fb81503e30",5302,"External analysis","link","https://www.virustotal.com/gui/file/5b2596b94f8475582ace1fcc719f15ab68428a4687e442e65885089f7c24d5d3/detection","",0,1689527763,"permalink","","eaa55d12-b015-4cab-8a84-4c727f0284b3","virustotal-report","misc"
"c9432df6-1b6a-4b0a-9906-bc50126bb9a7",5302,"Other","datetime","2023-07-16T16:55:25.000000+0000","",0,1689527763,"last-submission","","eaa55d12-b015-4cab-8a84-4c727f0284b3","virustotal-report","misc"
"12ffb4be-ade4-47c6-aa9d-cb0820387869",5302,"Other","text","23/61","",0,1689527763,"detection-ratio","","eaa55d12-b015-4cab-8a84-4c727f0284b3","virustotal-report","misc"

