uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"9265e431-b7d9-48a9-b1be-7be101b470d6",42817,"Payload delivery","filename","emptyfilename.tmp","",0,1609858972,"","","","",""
"6b9016b3-6e22-4187-8689-2aa96b123952",42817,"Payload delivery","md5","eeaf2b5427ad0aef008e2cc0025d1e2a","",1,1609858972,"","","","",""
"df8e3e0a-6ad1-4dc1-b819-9d48dbd89abb",42817,"Payload delivery","sha1","4e3fb34987f1e1c173ec867c76e9150d66bac53c","",1,1609858972,"","","","",""
"4e176fd6-15b6-454e-89ec-1484ce7e1b29",42817,"Payload delivery","sha256","5a3581f9d290550b3440fc4617802bff675d2517799e3ff82345cf3c98f6a99b","",1,1609858972,"","","","",""
"26363d8d-ee5d-4e4c-986c-2b30477216b8",42817,"Payload delivery","mime-type","PE32 executable (DLL) (GUI) Intel 80386, for MS Windows","",0,1609858972,"","","","",""
"d29f49a1-2f69-48a0-b51c-9772d71204cc",42817,"Payload delivery","imphash","f166262f6ff454a1e482b103245ef9f2","",0,1609858972,"","","","",""
"26d5999a-5ad4-4f79-b7cb-0a646ccee861",42817,"Network activity","url","http://sarture.com/wp-includes/JD8/","",1,1609858972,"","","","",""
"82451b0f-ee94-4a43-9e60-e2b5d57bbcb8",42817,"Network activity","domain","sarture.com","",1,1609858972,"","","","",""
"377d0d0e-c788-46c8-8bb0-43d253611140",42817,"Other","text",".text","",0,1609858972,"name","","5b91f737-5cc0-42ce-a4b6-d198773e915e","pe-section","file"
"1de9613e-6d69-4288-b2a6-dd507363a56a",42817,"Payload delivery","md5","7bbdce06fba9dd127d6ea0478e39cc0b","",1,1609858972,"md5","","5b91f737-5cc0-42ce-a4b6-d198773e915e","pe-section","file"
"13e775c5-52a2-4b7e-bef1-e4434b69d1af",42817,"Payload delivery","sha1","ae1c607670b1ff7540ef136d5937a163edfe4b5f","",1,1609858972,"sha1","","5b91f737-5cc0-42ce-a4b6-d198773e915e","pe-section","file"
"a2eb9d98-2231-4f9c-91b9-e67ad9bb9c38",42817,"Payload delivery","sha256","4c8fca900bf657e5bcc7b986d7a0a41c33fd6c4a4f2670e1aed379eb85b4dcdf","",1,1609858972,"sha256","","5b91f737-5cc0-42ce-a4b6-d198773e915e","pe-section","file"
"f5c96c21-f572-4c5c-bb1d-8d3de7f9be67",42817,"Other","size-in-bytes",48640,"",0,1609858972,"size-in-bytes","","5b91f737-5cc0-42ce-a4b6-d198773e915e","pe-section","file"
"b620aaca-8e26-4d4b-8764-5cc1444de509",42817,"Other","float",6.55166,"",0,1609858972,"entropy","","5b91f737-5cc0-42ce-a4b6-d198773e915e","pe-section","file"
"7824681a-c5cf-4f79-ba49-3159384a3804",42817,"Other","text",".rdata","",0,1609858973,"name","","239d277b-0c8f-46bb-82c7-e1f7a3b08a2b","pe-section","file"
"7252b7f5-7b0a-4dc5-bf9a-c07f76c153f1",42817,"Payload delivery","md5","7ae7b909c5e5bc97a40d5830b35e5905","",1,1609858973,"md5","","239d277b-0c8f-46bb-82c7-e1f7a3b08a2b","pe-section","file"
"f676ef65-2ade-4d6f-8827-452c3912cb16",42817,"Payload delivery","sha1","5a7b80011d507a8b156f0c04a002b15f2af7adf7","",1,1609858973,"sha1","","239d277b-0c8f-46bb-82c7-e1f7a3b08a2b","pe-section","file"
"87d96ffa-8e84-4d64-bb97-c059081af783",42817,"Payload delivery","sha256","62c1312142d4af882fc98223c979714edf451a9b13db4544ad8c434944c39be6","",1,1609858973,"sha256","","239d277b-0c8f-46bb-82c7-e1f7a3b08a2b","pe-section","file"
"e7864496-5eae-4432-8a98-9bd2efe90fd5",42817,"Other","size-in-bytes",19456,"",0,1609858973,"size-in-bytes","","239d277b-0c8f-46bb-82c7-e1f7a3b08a2b","pe-section","file"
"0fb1e94a-31ca-4ce4-96fa-b7a792ef1b55",42817,"Other","float",4.81305,"",0,1609858973,"entropy","","239d277b-0c8f-46bb-82c7-e1f7a3b08a2b","pe-section","file"
"ed851e03-4a9f-4796-8ff8-b189c4d8913a",42817,"Other","text",".data","",0,1609858973,"name","","34d180ce-d278-47e1-85e9-908eb5ff217f","pe-section","file"
"b13a7d38-fa2f-4b05-98e0-bf99214d421e",42817,"Payload delivery","md5","5a48170a55109a6400ad9584c9af9cb8","",1,1609858973,"md5","","34d180ce-d278-47e1-85e9-908eb5ff217f","pe-section","file"
"24edc633-9515-45e0-865c-16b355be0e03",42817,"Payload delivery","sha1","8a0f20f4bb33261cb4abf771936f97b91c10ad2d","",1,1609858973,"sha1","","34d180ce-d278-47e1-85e9-908eb5ff217f","pe-section","file"
"26a3737d-36fa-4e6d-a3a6-f3cfc3e01feb",42817,"Payload delivery","sha256","0f999f1d0ba6b3500d21e9cd43b34f9a04f7bc8fb8861a62060a979a1440086a","",1,1609858973,"sha256","","34d180ce-d278-47e1-85e9-908eb5ff217f","pe-section","file"
"f01ce163-32cc-4a90-801d-e2d023d10e6b",42817,"Other","size-in-bytes",4096,"",0,1609858973,"size-in-bytes","","34d180ce-d278-47e1-85e9-908eb5ff217f","pe-section","file"
"3249ce81-bf2b-4039-97b9-12a27c4215b5",42817,"Other","float",2.70894,"",0,1609858973,"entropy","","34d180ce-d278-47e1-85e9-908eb5ff217f","pe-section","file"
"a7dbe356-e247-4e7e-ab8e-9006d82a840d",42817,"Other","text",".rsrc","",0,1609858974,"name","","f3142511-62ed-46c8-aa8f-7c1d0a4823e4","pe-section","file"
"a79d1b42-2fed-42c7-a851-d59359b6b8bc",42817,"Payload delivery","md5","35ac11b2a38b9174fbe0cb6013dbaded","",1,1609858974,"md5","","f3142511-62ed-46c8-aa8f-7c1d0a4823e4","pe-section","file"
"12ba4230-2401-483f-8ef1-16ebdfec2b25",42817,"Payload delivery","sha1","98e5dd5e4774760095d33f4b48346c89fa4fcb70","",1,1609858975,"sha1","","f3142511-62ed-46c8-aa8f-7c1d0a4823e4","pe-section","file"
"9c140d32-d756-4598-92d9-339cd91d6e53",42817,"Payload delivery","sha256","5a680d2ac1af923d38e0cf41d94d82c76705d58e778bb92166d8f0741d3d1dcc","",1,1609858975,"sha256","","f3142511-62ed-46c8-aa8f-7c1d0a4823e4","pe-section","file"
"d4c5a395-5532-4945-8188-4005df82bd0b",42817,"Other","size-in-bytes",111616,"",0,1609858975,"size-in-bytes","","f3142511-62ed-46c8-aa8f-7c1d0a4823e4","pe-section","file"
"5292ffd4-5702-461f-93ac-3fda61acfcb3",42817,"Other","float",7.99447,"",0,1609858975,"entropy","","f3142511-62ed-46c8-aa8f-7c1d0a4823e4","pe-section","file"
"f6c711cf-bf5c-48c3-b496-4b8a082e2dfc",42817,"Other","text",".reloc","",0,1609858975,"name","","d015f679-99b1-41ea-8ddf-e3dfbaeeedf0","pe-section","file"
"8d191bd9-5897-4d13-ba98-b4cf22eb9f74",42817,"Payload delivery","md5","0843f76b87948131746ddc815a900317","",1,1609858975,"md5","","d015f679-99b1-41ea-8ddf-e3dfbaeeedf0","pe-section","file"
"005694f7-914d-4253-a12e-80af86a22939",42817,"Payload delivery","sha1","d26dcd7a5b99e5cfa5788e2de0b04e97bdcc5112","",1,1609858975,"sha1","","d015f679-99b1-41ea-8ddf-e3dfbaeeedf0","pe-section","file"
"240662e4-e796-4fab-9497-c11f087b0140",42817,"Payload delivery","sha256","fc4f123ecf7f336c37238c377e566d21d28f8f46bb74646a82eadaf05419242a","",1,1609858975,"sha256","","d015f679-99b1-41ea-8ddf-e3dfbaeeedf0","pe-section","file"
"b3b0e848-20ce-4c9e-a50c-c012ffe96ca6",42817,"Other","size-in-bytes",7168,"",0,1609858975,"size-in-bytes","","d015f679-99b1-41ea-8ddf-e3dfbaeeedf0","pe-section","file"
"b4ceacaa-7ef8-43f5-a6e7-228eecc46ef4",42817,"Other","float",3.86475,"",0,1609858975,"entropy","","d015f679-99b1-41ea-8ddf-e3dfbaeeedf0","pe-section","file"
"2df3afb6-3c77-4aeb-8a7a-0d3c6c14d22a",42817,"External analysis","link","https://www.virustotal.com/gui/file/5a3581f9d290550b3440fc4617802bff675d2517799e3ff82345cf3c98f6a99b/detection","",0,1609858975,"permalink","","a24911ac-d932-4867-bca1-dc81fa9c50c9","virustotal-report","misc"
"001d00b6-e7b8-44fd-a6ab-16996b431f96",42817,"Other","datetime","2021-01-05T14:58:03.000000+0000","",0,1609858975,"last-submission","","a24911ac-d932-4867-bca1-dc81fa9c50c9","virustotal-report","misc"
"1c2bc214-99ec-4d58-a425-c10c9b94d182",42817,"Other","text","19/70","",0,1609858975,"detection-ratio","","a24911ac-d932-4867-bca1-dc81fa9c50c9","virustotal-report","misc"

