uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"cfa8528d-2500-47a8-8c9b-715e8318f869",34380,"Payload delivery","filename","Servizi.zip","",0,1678100354,"","","","",""
"f5632324-961e-4ff3-8b0b-72fcb7d47ecd",34380,"Payload delivery","md5","596487f7d0d0905899913d11cb18e5ba","",1,1678100354,"","","","",""
"f411b37d-982c-4386-a453-1f88233b89cf",34380,"Payload delivery","sha1","41f41d20dcbb37a052b06bd7974e7d2975ac35b3","",1,1678100354,"","","","",""
"e25ce0dc-3f8f-43cf-a6be-6151bbeae8e1",34380,"Payload delivery","sha256","40570e998a0f16239e1587de3812da51f58a972d21685f1a90c69282645a46b4","",1,1678100354,"","","","",""
"10ecabdd-4a69-47fa-8df2-9eb8625ef4b7",34380,"Payload delivery","mime-type","Zip archive data, at least v2.0 to extract","",0,1678100354,"","","","",""
"04cc2509-2e1b-4672-81f7-7c3d46d96f44",34380,"Network activity","url","https://goodstuffdist.com/mise/Servizi.zip","",1,1678100354,"","","","",""
"4960e87a-34cd-4bd1-81d5-fa21c74ae09e",34380,"Network activity","domain","goodstuffdist.com","",1,1678100354,"","","","",""
"48b5a62d-33ce-458b-851c-231d030b5cd4",34380,"Network activity","url","https://rollsbeer.com/mise/Servizi.zip","",1,1678100647,"","","","",""
"dcd1e784-2973-44ff-be91-f868d930e787",34380,"Network activity","domain","rollsbeer.com","",1,1678100647,"","","","",""
"1beff589-9f59-4d96-91c8-4a1c8e80bb32",34380,"Network activity","url","https://qrroom.com/mise/Servizi.zip","",1,1678104070,"","","","",""
"e7b3bc81-365c-4e47-a39f-7cd08a6a09b9",34380,"Network activity","domain","qrroom.com","",1,1678104070,"","","","",""
"40caa030-eef8-4307-807f-4236f657bb8d",34380,"Network activity","url","https://bestmagento.com/mise/Servizi.zip","",1,1678104126,"","","","",""
"9be10c74-0bef-4ae6-af00-bfe36e888f74",34380,"Network activity","domain","bestmagento.com","",1,1678104126,"","","","",""
"0bd596a3-eb6f-418e-a2ac-5ea278c28db4",34380,"Network activity","url","https://crystalcoin.cc/mise/Servizi.zip","",1,1678104306,"","","","",""
"afb1fda0-8779-40dd-8e14-c99638436bd7",34380,"Network activity","domain","crystalcoin.cc","",1,1678104306,"","","","",""
"2c2f0b32-c1c5-4d73-9a6a-fda93ce50d1d",34380,"Network activity","url","https://votre-futur-site.com/mise/Servizi.zip","",1,1678122257,"","","","",""
"5cb9cb9e-4dcd-4529-ab1b-0aaf274cb8d0",34380,"Network activity","domain","votre-futur-site.com","",1,1678122257,"","","","",""
"7e624d15-d781-4cca-8c80-ef1828b80c3d",34380,"Network activity","url","https://nvdevinas.com/mise/Servizi.zip","",1,1678128090,"","","","",""
"aee6b2d8-4eec-43c3-9fa5-e20c725ca721",34380,"Network activity","domain","nvdevinas.com","",1,1678128090,"","","","",""
"0eef1905-8623-40a6-a77c-8e201c669408",34380,"Network activity","url","https://threerosesbeauty.com/mise/Servizi.zip","",1,1678128379,"","","","",""
"8be2d857-e607-4474-936a-a7152c529320",34380,"Network activity","domain","threerosesbeauty.com","",1,1678128379,"","","","",""
"1ea58adb-bad1-4382-b242-9aba99e5e5ae",34380,"Network activity","url","https://www.arkidecture.com/mise/Servizi.zip","",1,1678129689,"","","","",""
"8496a833-3f4f-4b79-8711-26ffeef40ac4",34380,"Network activity","domain","www.arkidecture.com","",1,1678129689,"","","","",""
"c518a983-ed36-44fe-b012-d1b637f7a50e",34380,"Network activity","url","https://unapromo.com/mise/Servizi.zip","",1,1678136112,"","","","",""
"58c2e32d-e337-4743-8d5a-86886bc1e5be",34380,"Network activity","domain","unapromo.com","",1,1678136112,"","","","",""
"7c715c2d-5d52-4c18-8de5-a5e3b10e7a6d",34380,"Network activity","url","https://nhatheptienchebinhduong.com/mise/Servizi.zip","",1,1678725361,"","","","",""
"56317569-96d2-4089-8fd3-acef4f828b0a",34380,"Network activity","domain","nhatheptienchebinhduong.com","",1,1678725361,"","","","",""
"8a815677-bd4e-4eac-94c3-9fdae50b10a0",34380,"Network activity","url","https://musicaondemand.com/mise/Servizi.zip","",1,1678725417,"","","","",""
"03c0f179-8327-4fca-9565-2ff71c97aef7",34380,"Network activity","domain","musicaondemand.com","",1,1678725417,"","","","",""
"d16e8e02-dfb7-45a2-b104-f4c84395b39e",34380,"Network activity","url","https://derekludlow.com/mise/Servizi.zip","",1,1678727999,"","","","",""
"b97184ff-047b-4085-94a2-b561d5767a89",34380,"Network activity","domain","derekludlow.com","",1,1678727999,"","","","",""
"3816e7c7-0c4f-4cd8-8165-66a444f6423e",34380,"Network activity","url","https://sherryanneinteriors.com/mise/Servizi.zip","",1,1678728657,"","","","",""
"45cb56db-b7ed-44e2-ab7e-1abbeaabbe5e",34380,"Network activity","domain","sherryanneinteriors.com","",1,1678728657,"","","","",""
"9701fb93-675e-444c-8da8-db3d6ebed064",34380,"Network activity","url","https://culinaria-passoapasso.artesanatodosucesso.com/mise/Servizi.zip","",1,1678768993,"","","","",""
"c8c2104c-f7a4-47c6-9086-9e730a93c6e2",34380,"Network activity","domain","culinaria-passoapasso.artesanatodosucesso.com","",1,1678768993,"","","","",""
