uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"55994a06-813c-467c-901e-ad27f20d7949",65793,"Payload delivery","filename","l1z4rdsQu4D.arm6","",0,1637102826,"","","","",""
"af313b54-250d-447c-922b-5bd2e3437c5c",65793,"Payload delivery","md5","4599e217e7eea1d7289abd0c44860ea1","",1,1637102826,"","","","",""
"948c2c8e-6646-4e88-aa3f-8d5b296e5294",65793,"Payload delivery","sha1","8600b6dc7ce12df857bd8a514f244f1077ab9023","",1,1637102826,"","","","",""
"2b6f77c3-0fd2-490e-bed4-2dbae1125592",65793,"Payload delivery","sha256","8251c54825814b760817aaa539e2df25b923546d58f72ea186cdcb336de133a2","",1,1637102826,"","","","",""
"0bcbabc5-a19d-4312-b73c-af9846961a85",65793,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (GNU/Linux), statically linked, no section header","",0,1637102826,"","","","",""
"a38d7b47-df2b-4c96-bdf6-da869c58bc2a",65793,"Network activity","url","http://212.193.30.219/Binarys/l1z4rdsQu4D.arm6","",1,1637102826,"","","","",""
"cd001c3d-0020-44b0-b133-98354d19fbc3",65793,"Network activity","ip-dst","212.193.30.219","",1,1637102826,"","","","",""
"abc350ac-6714-4f16-be6f-54d3721ca71e",65793,"External analysis","link","https://www.virustotal.com/gui/file/8251c54825814b760817aaa539e2df25b923546d58f72ea186cdcb336de133a2/detection","",0,1637102827,"permalink","","992e2e9c-0fd1-42d5-a0e1-f9d8de80c035","virustotal-report","misc"
"ed560e55-4f45-4690-ae73-3f7b45d04acd",65793,"Other","datetime","2021-11-16T22:25:25.000000+0000","",0,1637102827,"last-submission","","992e2e9c-0fd1-42d5-a0e1-f9d8de80c035","virustotal-report","misc"
"b130649d-ed8a-4e86-97cd-8d2ea659e58f",65793,"Other","text","16/60","",0,1637102827,"detection-ratio","","992e2e9c-0fd1-42d5-a0e1-f9d8de80c035","virustotal-report","misc"

