uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"9f912dc0-0be7-46ae-99e9-fc325ddd21df",31965,"Payload delivery","filename","test.exe","",0,1674166387,"","","","",""
"60c7b3c9-4da1-4e72-bbf1-7dae25afe9da",31965,"Payload delivery","md5","d74c5647d791583241baa5061e0063c9","",1,1674166387,"","","","",""
"37ca496a-a6c7-4dde-bf70-21c01bd3514a",31965,"Payload delivery","sha1","e404c6041dca2f3b767231e38dfca8faecca10ca","",1,1674166387,"","","","",""
"61b63c2f-b729-4b9c-ab6c-bd7aedf7bf6c",31965,"Payload delivery","sha256","bac6488f76da4691540401614bc665dfc5bec8d875cb26e72870c65ac43fe268","",1,1674166387,"","","","",""
"62afc235-63f7-483a-8cdc-62522c68fd70",31965,"Payload delivery","mime-type","PE32+ executable (GUI) x86-64 Mono/.Net assembly, for MS Windows","",0,1674166387,"","","","",""
"d40e9689-ad41-4844-a20c-2e190466dfba",31965,"Network activity","url","http://77.73.134.35/test.exe","",1,1674166387,"","","","",""
"fd4e21e0-d5d0-4cc1-a072-d37b09a6a665",31965,"Network activity","ip-dst","77.73.134.35","",1,1674166387,"","","","",""
"5467a081-0665-4a87-b8a7-5dfce9cde4ff",31965,"Other","text",".text","",0,1674166388,"name","","5eb9c3e4-516f-4a9f-a76b-12bfdc53f55f","pe-section","file"
"51346114-5eba-4777-8665-6df3fab00547",31965,"Payload delivery","md5","496cf36c0aae8beb1f24ce1f406b8425","",1,1674166388,"md5","","5eb9c3e4-516f-4a9f-a76b-12bfdc53f55f","pe-section","file"
"8350c218-3244-4039-bbe3-11737ec2c63d",31965,"Payload delivery","sha1","e3c904dc7f0b873d2d30973aca1c68a458adf9d0","",1,1674166388,"sha1","","5eb9c3e4-516f-4a9f-a76b-12bfdc53f55f","pe-section","file"
"b31c6399-5fad-4d3b-b8ba-5e50bf7da600",31965,"Payload delivery","sha256","da63f15d54804d9495242e7eb70d1db60426aac85f7ad162293be982b38800af","",1,1674166388,"sha256","","5eb9c3e4-516f-4a9f-a76b-12bfdc53f55f","pe-section","file"
"c3ce8c6a-d964-4655-8018-c75a5398b272",31965,"Other","size-in-bytes",402432,"",0,1674166388,"size-in-bytes","","5eb9c3e4-516f-4a9f-a76b-12bfdc53f55f","pe-section","file"
"2f1add9c-ddf6-4205-8c94-33fd3dedbefc",31965,"Other","float",7.95423,"",0,1674166388,"entropy","","5eb9c3e4-516f-4a9f-a76b-12bfdc53f55f","pe-section","file"
"d1f3eb65-93ba-4c23-a0c5-42c432ab67a4",31965,"Other","text",".rsrc","",0,1674166388,"name","","d8cfe81d-bc4c-4673-9a93-78b048297063","pe-section","file"
"b3b4256c-4402-41a9-97f3-fe3c8c34cd3f",31965,"Payload delivery","md5","bf619eac0cdf3f68d496ea9344137e8b","",1,1674166388,"md5","","d8cfe81d-bc4c-4673-9a93-78b048297063","pe-section","file"
"7b927139-e05e-4f9f-bb40-52263d32936a",31965,"Payload delivery","sha1","5c3eb80066420002bc3dcc7ca4ab6efad7ed4ae5","",1,1674166388,"sha1","","d8cfe81d-bc4c-4673-9a93-78b048297063","pe-section","file"
"f8440a1a-5ff5-4d56-9f73-d95279b3c06c",31965,"Payload delivery","sha256","076a27c79e5ace2a3d47f9dd2e83e4ff6ea8872b3c2218f66c92b89b55f36560","",1,1674166388,"sha256","","d8cfe81d-bc4c-4673-9a93-78b048297063","pe-section","file"
"28e13ba9-addd-4f2c-9398-6800d0c61d61",31965,"Other","size-in-bytes",512,"",0,1674166388,"size-in-bytes","","d8cfe81d-bc4c-4673-9a93-78b048297063","pe-section","file"
"ccdda11d-bd4a-4f62-80b0-15eea752de2e",31965,"Other","float",0,"",0,1674166388,"entropy","","d8cfe81d-bc4c-4673-9a93-78b048297063","pe-section","file"
"7bf9935f-c083-4f00-bdd0-5f648dfc58f8",31965,"External analysis","link","https://www.virustotal.com/gui/file/bac6488f76da4691540401614bc665dfc5bec8d875cb26e72870c65ac43fe268/detection","",0,1674166389,"permalink","","7c0fdd50-fa2d-4733-b72e-240e2f33ba88","virustotal-report","misc"
"886b5b28-d29e-4f28-b46d-0ac5bcb08f19",31965,"Other","datetime","2023-01-19T22:01:17.000000+0000","",0,1674166389,"last-submission","","7c0fdd50-fa2d-4733-b72e-240e2f33ba88","virustotal-report","misc"
"eb8151a7-4aa5-4183-ad71-00120970a227",31965,"Other","text","14/70","",0,1674166389,"detection-ratio","","7c0fdd50-fa2d-4733-b72e-240e2f33ba88","virustotal-report","misc"

