uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"eb7fda2e-ee8b-4871-8951-abc0a0d42589",9498,"Payload delivery","filename","%e5%af%ab%e7%9c%9f1111.apk","",0,1725345920,"","","","",""
"86c89e8a-5e1c-41a5-9dc4-16d8f870316a",9498,"Payload delivery","md5","d9b421888f897ef99e05e2d78c931f15","",1,1725345920,"","","","",""
"745f727d-c1d6-4c0b-b40d-308fd1e9bcf3",9498,"Payload delivery","sha1","c8d8c06e7f865178285012894ab2bb6339796d13","",1,1725345920,"","","","",""
"07d33601-58f3-4faf-b9e0-3a9ba52c740c",9498,"Payload delivery","sha256","d30a2fdd63b69a399b116f8044215be2331b4829dce7bfad9c0b6b01e6a7493e","",1,1725345920,"","","","",""
"0c5a449d-43e1-4270-84b7-9cd425c66949",9498,"Payload delivery","mime-type","application/zip","",0,1725345920,"","","","",""
"263f3f22-0e80-49bf-83c6-321521e78aa5",9498,"Network activity","url","http://156.248.77.50/%e5%af%ab%e7%9c%9f1111.apk","",1,1725345920,"","","","",""
"ccb55512-1d16-44db-a5ed-7c669f206a82",9498,"Network activity","ip-dst","156.248.77.50","",1,1725345920,"","","","",""
"a86d42dc-5533-48cb-8041-736332f58f04",9498,"External analysis","link","https://www.virustotal.com/gui/file/d30a2fdd63b69a399b116f8044215be2331b4829dce7bfad9c0b6b01e6a7493e/detection","",0,1725345920,"permalink","","8eb03c8d-b2d3-48b2-9824-360654a03312","virustotal-report","misc"
"3300af76-60c1-4824-afb4-7784bc0e3ed1",9498,"Other","datetime","2024-08-27T13:41:27.000000+0000","",0,1725345920,"last-submission","","8eb03c8d-b2d3-48b2-9824-360654a03312","virustotal-report","misc"
"4dcdbe70-0eb8-4d6f-98e5-9ad9832af8fe",9498,"Other","text","15/78","",0,1725345920,"detection-ratio","","8eb03c8d-b2d3-48b2-9824-360654a03312","virustotal-report","misc"

