uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"a6edb6b3-1a67-4523-ad5b-d7b979fa2f4f",17765,"Payload delivery","filename","wind.exe","",0,1655331965,"","","","",""
"14107481-0436-4662-a189-dd878aa03e46",17765,"Payload delivery","md5","c4152100ece7c574e1a8e3af63fb43c1","",1,1655331965,"","","","",""
"7f9c3e5c-bcbd-4000-949e-b383ce53a566",17765,"Payload delivery","sha1","7587372eab8e45f46da148f66dc29a8db74c500e","",1,1655331965,"","","","",""
"17500bb7-4ab9-4a40-8566-2f25a5826f20",17765,"Payload delivery","sha256","5bc966e22893f103baa526fdd1392a0350890a4a151670fe608f55f32eaa9c1b","",1,1655331965,"","","","",""
"adc5bf63-b932-4304-b542-092323143a08",17765,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1655331965,"","","","",""
"1f438725-da4a-4e66-9425-e16c57e9d331",17765,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1655331965,"","","","",""
"2996f1a3-cf39-4959-b8d3-36f073a3f92d",17765,"Network activity","url","http://107.175.212.108/order/wind.exe","",1,1655331965,"","","","",""
"29f58242-11bd-44f2-b3f3-d253ab8b0eb7",17765,"Network activity","ip-dst","107.175.212.108","",1,1655331965,"","","","",""
"555c43ed-135f-4126-8a1e-a39741f4ae6b",17765,"Other","text",".text","",0,1655331966,"name","","5bb9a6b9-1efb-4025-bf02-a63b4d3b11ca","pe-section","file"
"04947c66-fd72-48d5-8f13-c3c5eb31eff9",17765,"Payload delivery","md5","dd969b2ef69c704fb24a4a3f3cac827e","",1,1655331966,"md5","","5bb9a6b9-1efb-4025-bf02-a63b4d3b11ca","pe-section","file"
"5522d631-a557-4a20-85db-fe9a604f3c9f",17765,"Payload delivery","sha1","a248a7cdefb8b93e7466c5a7e0edb33b71bafcf2","",1,1655331966,"sha1","","5bb9a6b9-1efb-4025-bf02-a63b4d3b11ca","pe-section","file"
"a86728d9-0d5a-450b-8ac3-868dfcfb1aeb",17765,"Payload delivery","sha256","97903c2508a9864463f221460926df3cbb54ac297899a9f20a5254cd9f718dce","",1,1655331966,"sha256","","5bb9a6b9-1efb-4025-bf02-a63b4d3b11ca","pe-section","file"
"d30c7d92-4a9d-46a4-a0e7-9f7a265b90e9",17765,"Other","size-in-bytes",627712,"",0,1655331966,"size-in-bytes","","5bb9a6b9-1efb-4025-bf02-a63b4d3b11ca","pe-section","file"
"28fe240d-643d-4d64-9aac-80535f02e0ea",17765,"Other","float",7.4461,"",0,1655331966,"entropy","","5bb9a6b9-1efb-4025-bf02-a63b4d3b11ca","pe-section","file"
"7b25c470-71a0-4ceb-badb-6a3c97d6b769",17765,"Other","text",".rsrc","",0,1655331966,"name","","c9a992b0-5f8e-49ef-8628-62dec171681a","pe-section","file"
"4c4f15d6-9909-4bd0-b2ec-3a5297cd157f",17765,"Payload delivery","md5","2f6e90262d5a2ebc0b95cbd14632d608","",1,1655331966,"md5","","c9a992b0-5f8e-49ef-8628-62dec171681a","pe-section","file"
"e6d69c1e-f5e0-4d2b-9342-246e043c2db1",17765,"Payload delivery","sha1","b077426c8055f43105c5c58b6d1d8cdbf953da26","",1,1655331966,"sha1","","c9a992b0-5f8e-49ef-8628-62dec171681a","pe-section","file"
