uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"f4ef2331-e09f-43a5-8a22-8a0ec857f60b",27159,"Payload delivery","filename","270Oogfism.exe","",0,1598298006,"","","","",""
"8ae2ad16-c1d7-4ddd-a695-7f772cc68b8d",27159,"Payload delivery","md5","a485fce2f94f807704e25a7423763511","",1,1598298006,"","","","",""
"4ccae22e-5dbb-48a0-9ba2-ce6024acc081",27159,"Payload delivery","sha1","41b26875563a2b23e69605b49b201b6a6c61605a","",1,1598298006,"","","","",""
"dc3ee990-820f-4c27-b323-9f0e84b4c1fd",27159,"Payload delivery","sha256","af3743740df248eab4de6a880985ebcbb406703ae52da075bdeb3aea99c9f5b7","",1,1598298006,"","","","",""
"f648605c-b543-4132-8ec0-f4ed8ba4d8b2",27159,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1598298006,"","","","",""
"0abe3e6f-7c42-4916-a7ba-7860aa6d9bd2",27159,"Payload delivery","imphash","a7d1aa369712d60e985a3977f1030bf9","",0,1598298006,"","","","",""
"fafb4faa-41a6-44c9-bfab-01e2181469df",27159,"Network activity","url","https://yektairon.com/brands/270Oogfism.exe","",1,1598298006,"","","","",""
"f64635ad-deaa-4bdd-a6e5-e963c3b7816b",27159,"Network activity","domain","yektairon.com","",1,1598298006,"","","","",""
"b1e62c4d-657d-4899-9751-7ec4ea5f84a3",27159,"Other","text",".text","",0,1598298007,"name","","bac1eec4-3ecb-4fda-8aea-bf85d7b43f99","pe-section","file"
"de8a5386-85c4-426c-9779-2c7185b9fdea",27159,"Payload delivery","md5","a836de3b7554dbf8be02eba5c5fda39a","",1,1598298007,"md5","","bac1eec4-3ecb-4fda-8aea-bf85d7b43f99","pe-section","file"
"82eb5771-8870-46b8-bc84-29bf8c90e30e",27159,"Payload delivery","sha1","5d2c5b59f699ac2dd1837d5cd4f83c74165f8976","",1,1598298007,"sha1","","bac1eec4-3ecb-4fda-8aea-bf85d7b43f99","pe-section","file"
"1166c32a-a304-4da2-98ae-19ec47f01f6a",27159,"Payload delivery","sha256","bc746a09d87ebdd827f81a8bf034bf7257c3699d1c2eafc2758f9c439844a77c","",1,1598298007,"sha256","","bac1eec4-3ecb-4fda-8aea-bf85d7b43f99","pe-section","file"
"2a7ee4bc-a677-403e-aea3-9c951ee6d7a2",27159,"Other","size-in-bytes",245760,"",0,1598298007,"size-in-bytes","","bac1eec4-3ecb-4fda-8aea-bf85d7b43f99","pe-section","file"
"b6e70bcf-eaa0-4c6d-98ad-cbbbb952a91f",27159,"Other","float",6.37908,"",0,1598298007,"entropy","","bac1eec4-3ecb-4fda-8aea-bf85d7b43f99","pe-section","file"
"701d7852-c597-4695-b296-9b76f9c1b2ce",27159,"Other","text",".data","",0,1598298007,"name","","16ec0fe8-e5fc-45a3-b53a-34a411a8c15b","pe-section","file"
"966c90b2-e47c-4a1a-aaf2-80cfa1ca074e",27159,"Payload delivery","md5","620f0b67a91f7f74151bc5be745b7110","",1,1598298007,"md5","","16ec0fe8-e5fc-45a3-b53a-34a411a8c15b","pe-section","file"
"73631259-a9aa-442c-8ac7-ebf3a0f446cf",27159,"Payload delivery","sha1","1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d","",1,1598298007,"sha1","","16ec0fe8-e5fc-45a3-b53a-34a411a8c15b","pe-section","file"
"1b27bf1f-1190-410b-a211-a301103bffbe",27159,"Payload delivery","sha256","ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7","",1,1598298007,"sha256","","16ec0fe8-e5fc-45a3-b53a-34a411a8c15b","pe-section","file"
"9459e412-d1d9-4637-aaea-685888b8578d",27159,"Other","size-in-bytes",4096,"",0,1598298007,"size-in-bytes","","16ec0fe8-e5fc-45a3-b53a-34a411a8c15b","pe-section","file"
"12e29826-0aff-4e5b-9461-11418de38cd6",27159,"Other","float",0.0,"",0,1598298007,"entropy","","16ec0fe8-e5fc-45a3-b53a-34a411a8c15b","pe-section","file"
"d6b1f7bf-2dc9-46dd-9f0a-0178a0e8f344",27159,"Other","text",".rsrc","",0,1598298008,"name","","ce20202e-f26f-4b4b-9703-f07227be829e","pe-section","file"
"09954435-f86d-46b7-963a-00a28d19f66a",27159,"Payload delivery","md5","a10fa55be9db3d382a0407e592d21b87","",1,1598298008,"md5","","ce20202e-f26f-4b4b-9703-f07227be829e","pe-section","file"
"492bbd67-bad9-4696-a323-f320cb998ef0",27159,"Payload delivery","sha1","2fcfdce10dc71faae92e7ed5bf269ab1be2bf8be","",1,1598298008,"sha1","","ce20202e-f26f-4b4b-9703-f07227be829e","pe-section","file"
"e640b109-4765-491a-98aa-f3878619a60a",27159,"Payload delivery","sha256","291036aaa6608a77f104f1ced2229775e102a809a635a199eb842e22134ba511","",1,1598298008,"sha256","","ce20202e-f26f-4b4b-9703-f07227be829e","pe-section","file"
"5b9a3857-5f78-421f-a63a-2fb6fd733191",27159,"Other","size-in-bytes",327680,"",0,1598298008,"size-in-bytes","","ce20202e-f26f-4b4b-9703-f07227be829e","pe-section","file"
"e00fdf91-beb6-496a-89c6-029956ef0314",27159,"Other","float",5.90396,"",0,1598298008,"entropy","","ce20202e-f26f-4b4b-9703-f07227be829e","pe-section","file"
"e9c15de4-52fe-4e27-8148-fdac988fe834",27159,"External analysis","link","https://www.virustotal.com/gui/file/af3743740df248eab4de6a880985ebcbb406703ae52da075bdeb3aea99c9f5b7/detection","",0,1598298008,"permalink","","817ecdf6-0b1d-485a-9874-8f5e8ed69776","virustotal-report","misc"
"7549c5b8-5a0b-418e-9b21-066073b1a676",27159,"Other","datetime","2020-08-24T17:36:41.000000+0000","",0,1598298008,"last-submission","","817ecdf6-0b1d-485a-9874-8f5e8ed69776","virustotal-report","misc"
