uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"612732e3-7ff6-4a28-b55a-cb9df05ad8e7",45436,"Payload delivery","filename","gucci.arm","",0,1611847984,"","","","",""
"5281577f-58e1-4569-9584-e807b5310b56",45436,"Payload delivery","md5","46073a06bcb0357445f74ab491ddfe36","",1,1611847984,"","","","",""
"827ff1ec-7369-4b09-be66-1e3d2f19ed4c",45436,"Payload delivery","sha1","31d012fb98771c667be3695964c968d5bdcb65a0","",1,1611847984,"","","","",""
"0fd39bce-4285-4a16-b4bc-304ceca4c1d8",45436,"Payload delivery","sha256","671cee1d4a8e40710b5c4d0dee7fb5362114c1525b4527a51ee2a9de4d48bf3a","",1,1611847984,"","","","",""
"e1446a01-a929-49ed-a09f-935050835d55",45436,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, no section header","",0,1611847984,"","","","",""
"e4027e97-003d-4e39-a29b-de1ce6af6d07",45436,"Network activity","url","http://107.174.144.133/awiotiwhiogoihahogahoi/gucci.arm","",1,1611847984,"","","","",""
"6681a988-a7dd-4d8e-8732-7e6c3dd6d53c",45436,"Network activity","ip-dst","107.174.144.133","",1,1611847984,"","","","",""
"2fb77f71-8783-4d18-bf27-13b39f56c2cf",45436,"External analysis","link","https://www.virustotal.com/gui/file/671cee1d4a8e40710b5c4d0dee7fb5362114c1525b4527a51ee2a9de4d48bf3a/detection","",0,1611847985,"permalink","","b1b74f13-e3db-4992-8843-f34337960b93","virustotal-report","misc"
"eb92a684-5d17-49ef-b9de-651e11a29bb4",45436,"Other","datetime","2021-01-28T14:46:44.000000+0000","",0,1611847985,"last-submission","","b1b74f13-e3db-4992-8843-f34337960b93","virustotal-report","misc"
"8a15767b-f0ee-47cc-8163-21bfdad24cf1",45436,"Other","text","20/61","",0,1611847985,"detection-ratio","","b1b74f13-e3db-4992-8843-f34337960b93","virustotal-report","misc"

