uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"1fcb3d3c-8a7a-4795-b2da-c78fafbc4ab3",3145,"Payload delivery","filename","i","",0,1687628043,"","","","",""
"f4004f41-9de1-4549-b60e-1757f5f80959",3145,"Payload delivery","md5","d533e4a1985ee9df9eb60e8bc4e0904d","",1,1687628043,"","","","",""
"49fbedee-82b2-4e25-ab58-9a8049239205",3145,"Payload delivery","sha1","d99181ebfe5cd60f6cd0a938e78ae27d25fd182a","",1,1687628043,"","","","",""
"393ee94a-2fd3-4202-8fdd-0a9b268f100a",3145,"Payload delivery","sha256","606d278b2e75119296bf48721ae72deec87912742ce4d9920bf565521de4dcb0","",1,1687628043,"","","","",""
"8dd76703-4362-46c5-8535-f2cb18ad7b42",3145,"Payload delivery","mime-type","application/x-executable","",0,1687628043,"","","","",""
"0caaf1a9-d478-45b4-8956-666f6dd0d6ca",3145,"Network activity","url","http://42.229.223.167:44860/i","",1,1687628043,"","","","",""
"b63a8375-1d08-4ae4-8eb7-b038f5be03ca",3145,"Network activity","ip-dst","42.229.223.167","",1,1687628043,"","","","",""
"93b28668-3e55-401b-acc5-b28beea6adc5",3145,"Payload delivery","filename","Mozi.m","",0,1687628166,"","","","",""
"849c1570-407b-4fc8-9bb1-61c3a0e8cb54",3145,"Payload delivery","filename","bin.sh","",0,1687650966,"","","","",""
"e676efd9-50ed-4235-8448-42ce0042da58",3145,"Network activity","url","http://117.208.207.61:43753/Mozi.m","",1,1687650966,"","","","",""
"843a39e9-24d2-49ff-8624-b470ce47b75b",3145,"Network activity","ip-dst","117.208.207.61","",1,1687650966,"","","","",""
"4cfdb1ff-dff8-45b8-9de6-b1aeb2ce1093",3145,"Network activity","url","http://117.255.180.34:39705/bin.sh","",1,1687668784,"","","","",""
"ded1e133-41f7-4f4c-a3e4-40f51be59481",3145,"Network activity","ip-dst","117.255.180.34","",1,1687668784,"","","","",""
"473b6994-520c-4789-a3a9-5f5cfccd4ae3",3145,"Network activity","url","http://59.178.141.7:57802/Mozi.m","",1,1687703526,"","","","",""
"c2b58ff5-2a26-4cac-beb9-3acc6ce1642c",3145,"Network activity","ip-dst","59.178.141.7","",1,1687703526,"","","","",""
"72e42112-127f-4570-a821-27b7f33cd438",3145,"Network activity","url","http://117.255.182.20:58006/i","",1,1687716965,"","","","",""
"cf0ed18e-8d6a-46f8-89c0-2fb9606efda7",3145,"Network activity","ip-dst","117.255.182.20","",1,1687716965,"","","","",""
"8a3d1a5d-2bbc-4b41-988d-1bcdaa4c35cd",3145,"Network activity","url","http://61.3.105.188:33969/Mozi.m","",1,1687742229,"","","","",""
"3bde5b06-d3f4-4325-b222-456c41c25f82",3145,"Network activity","ip-dst","61.3.105.188","",1,1687742229,"","","","",""
"982643d2-2575-4ba7-ba40-6c0314cb761a",3145,"External analysis","link","https://www.virustotal.com/gui/file/606d278b2e75119296bf48721ae72deec87912742ce4d9920bf565521de4dcb0/detection","",0,1687628044,"permalink","","798338c2-9548-4ae5-99f8-d433d10e11d8","virustotal-report","misc"
"e9141119-c545-4d83-b17a-b2835ca5be3d",3145,"Other","datetime","2023-06-12T10:22:41.000000+0000","",0,1687628044,"last-submission","","798338c2-9548-4ae5-99f8-d433d10e11d8","virustotal-report","misc"
"92c64ac2-d99e-4f4a-8281-1c37d5f253c8",3145,"Other","text","43/61","",0,1687628044,"detection-ratio","","798338c2-9548-4ae5-99f8-d433d10e11d8","virustotal-report","misc"

