uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"bc276a4d-e23d-47ba-9978-71eef6d0bdf6",22539,"Payload delivery","filename","2250o9dudttc.exe","",0,1595419162,"","","","",""
"9053bbcf-d0df-4534-bf9b-d0c3b78d2069",22539,"Payload delivery","md5","f65b510e4dc8f9ae30d962a6b21d49c2","",1,1595419162,"","","","",""
"c02d32cd-7403-40f8-b8f5-abcd528c4fe5",22539,"Payload delivery","sha1","794bf0c70d5d8e5eaf07232721db9a7bd201028b","",1,1595419162,"","","","",""
"b4f5ca4d-6483-4c42-b966-e8d1aaaf86bb",22539,"Payload delivery","sha256","a5617df1634d62a0afb5bea20da708387dad518db6d386fb1259383e0aa7b9ed","",1,1595419162,"","","","",""
"4f1eb38a-be89-468e-ac3a-a9173470ddae",22539,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1595419162,"","","","",""
"c480337b-b628-4e37-89ba-be81b31d8878",22539,"Payload delivery","imphash","eac14a3b805ec7ce3f4759f2fcfb40c4","",0,1595419162,"","","","",""
"d0b18a40-928d-4610-8427-50373429d586",22539,"Network activity","url","http://afboxmarket.com/antoniostart/2250o9dudttc.exe","",1,1595419162,"","","","",""
"e8c35c6e-98e8-4e80-8a63-2f392bf9a67e",22539,"Network activity","domain","afboxmarket.com","",1,1595419162,"","","","",""
"5784f9e0-2f9b-4cdc-8849-71f8f18b97ec",22539,"Other","text",".text","",0,1595419162,"name","","34cdccda-c1c6-437a-b0a2-d135581af02a","pe-section","file"
"0138a7df-447c-4877-b34c-f3ff6a6df66a",22539,"Payload delivery","md5","18d1c999ff9eeb48fe10b97b268a37f4","",1,1595419162,"md5","","34cdccda-c1c6-437a-b0a2-d135581af02a","pe-section","file"
"1cc626fa-884a-4cf3-b0c0-08e62164d6d4",22539,"Payload delivery","sha1","14d69e357ab2dda2d1aecbefd7b20ba4a08f7323","",1,1595419163,"sha1","","34cdccda-c1c6-437a-b0a2-d135581af02a","pe-section","file"
"23ab40e4-1693-48e5-8a9b-6e1bcb046756",22539,"Payload delivery","sha256","fab63e9393370c1e95e856b74ea246265da8a2c0a3af7e768cdd4525b748de06","",1,1595419163,"sha256","","34cdccda-c1c6-437a-b0a2-d135581af02a","pe-section","file"
"b69aaf53-73a5-498b-b28e-9941ba3d0331",22539,"Other","size-in-bytes",245760,"",0,1595419163,"size-in-bytes","","34cdccda-c1c6-437a-b0a2-d135581af02a","pe-section","file"
"3c2a7b7a-e331-4dbf-be7a-f519a7657510",22539,"Other","float",6.81164,"",0,1595419163,"entropy","","34cdccda-c1c6-437a-b0a2-d135581af02a","pe-section","file"
"ccbd2f38-9d1b-4922-a86c-e13999988d56",22539,"Other","text",".data","",0,1595419163,"name","","017527c4-f04e-41f7-a03e-769be322f8fe","pe-section","file"
"92c1b0b9-4a22-4332-a7de-3f41a870332b",22539,"Payload delivery","md5","620f0b67a91f7f74151bc5be745b7110","",1,1595419163,"md5","","017527c4-f04e-41f7-a03e-769be322f8fe","pe-section","file"
"8252c12a-0007-4ed5-a6b5-6a207cd63f0b",22539,"Payload delivery","sha1","1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d","",1,1595419163,"sha1","","017527c4-f04e-41f7-a03e-769be322f8fe","pe-section","file"
"cf4b36e0-c738-4179-b56c-8ae4909da03c",22539,"Payload delivery","sha256","ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7","",1,1595419163,"sha256","","017527c4-f04e-41f7-a03e-769be322f8fe","pe-section","file"
