uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"fae53901-14db-4c6a-a394-ceeb8982bffb",41214,"Payload delivery","filename","whiteezx.exe","",0,1684704940,"","","","",""
"025019e8-52ce-4ef6-9476-2318c87084fd",41214,"Payload delivery","md5","2608ea96bd6424120c20e6594827f844","",1,1684704940,"","","","",""
"c7fe506c-a2dc-4daa-99e3-664027b82f9f",41214,"Payload delivery","sha1","20ad50236ae17787896bb41abb0c40356aba4ebd","",1,1684704940,"","","","",""
"a5073834-91db-4557-b462-a37689e9abd8",41214,"Payload delivery","sha256","f362a8543a40e8bdc5bccda150334bdd2f53f4b169725b3522064aa27992d1c9","",1,1684704940,"","","","",""
"fe876887-4005-4d40-bd57-73c8908265c1",41214,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1684704940,"","","","",""
"3a8fb77b-394c-45a4-9d65-e6c8100e8fca",41214,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1684704940,"","","","",""
"82146391-b444-48c5-b0de-c2089a9c74d4",41214,"Network activity","url","http://171.22.30.164/whiteezx.exe","",1,1684704940,"","","","",""
"c4794718-e216-4baa-a2b4-881fe7d94c5d",41214,"Network activity","ip-dst","171.22.30.164","",1,1684704940,"","","","",""
"d2d024dd-9f08-4f70-a11b-e07399ad0a22",41214,"Other","text",".text","",0,1684704941,"name","","1f7d8bcd-e506-4505-8f3e-19fdb0ea71fe","pe-section","file"
"f2470b48-baa4-4774-bf9c-8a15d5a58817",41214,"Payload delivery","md5","7b309a5e9f03394c520f9ab94ecd5188","",1,1684704941,"md5","","1f7d8bcd-e506-4505-8f3e-19fdb0ea71fe","pe-section","file"
"c1cc3b01-8925-4a81-ac22-f720e30c9a8c",41214,"Payload delivery","sha1","909b69db31f862b0e646cd1de05587ea6668a366","",1,1684704941,"sha1","","1f7d8bcd-e506-4505-8f3e-19fdb0ea71fe","pe-section","file"
"471189d3-2b8d-4030-9403-39c1d4c7ea33",41214,"Payload delivery","sha256","77b206380a463d845d07b6b8b0c34b6b1993e7c048ebcf65002e7566e7a83c8d","",1,1684704941,"sha256","","1f7d8bcd-e506-4505-8f3e-19fdb0ea71fe","pe-section","file"
"9f77478a-71ee-4cca-96f9-17cb00f787e7",41214,"Other","size-in-bytes",777728,"",0,1684704941,"size-in-bytes","","1f7d8bcd-e506-4505-8f3e-19fdb0ea71fe","pe-section","file"
"9d6ae6e0-4de1-4a3a-a6ac-572bf6664449",41214,"Other","float",7.523,"",0,1684704941,"entropy","","1f7d8bcd-e506-4505-8f3e-19fdb0ea71fe","pe-section","file"
"fc6a716f-f1d2-422d-bd98-a94380f2134c",41214,"Other","text",".rsrc","",0,1684704941,"name","","9bb4f8d4-8a7d-492d-bca3-62c92e49ffa3","pe-section","file"
"87390a70-d5f3-4aac-ba10-7070252f4cba",41214,"Payload delivery","md5","701de18d51894098dbe11e37336f12f6","",1,1684704941,"md5","","9bb4f8d4-8a7d-492d-bca3-62c92e49ffa3","pe-section","file"
"ac5ea5ce-c76d-4025-a57c-8faee192f41d",41214,"Payload delivery","sha1","18b06ec87bd2201fbcf40841d4529998f4df3815","",1,1684704941,"sha1","","9bb4f8d4-8a7d-492d-bca3-62c92e49ffa3","pe-section","file"
"1b65d322-4656-4ace-89a6-f4127b1aac10",41214,"Payload delivery","sha256","235948f4c9e8faedc94ab6e0881084592d888ffe05e5c6f2f6aafbbce71fcaaa","",1,1684704941,"sha256","","9bb4f8d4-8a7d-492d-bca3-62c92e49ffa3","pe-section","file"
"c653cf62-fca9-4f3f-a90e-20bb6bc15a05",41214,"Other","size-in-bytes",1536,"",0,1684704941,"size-in-bytes","","9bb4f8d4-8a7d-492d-bca3-62c92e49ffa3","pe-section","file"
"77764cb4-1874-42d8-9058-a86435ec20de",41214,"Other","float",4.20323,"",0,1684704941,"entropy","","9bb4f8d4-8a7d-492d-bca3-62c92e49ffa3","pe-section","file"
"2f6d4bc1-5bd9-4515-b12c-dbc1992aa264",41214,"Other","text",".reloc","",0,1684704941,"name","","54d26d05-2314-4a68-a425-fe64546ac48a","pe-section","file"
"38f5a8af-e842-4670-a50c-be746dd6af3d",41214,"Payload delivery","md5","db1641436ebfb586a5f5f62986e15a7d","",1,1684704941,"md5","","54d26d05-2314-4a68-a425-fe64546ac48a","pe-section","file"
"b5edfe70-3f3f-42c4-bb57-06ebb172d920",41214,"Payload delivery","sha1","c26bd51d8e86e8498d9cf0c4750fa3f3ab342afc","",1,1684704941,"sha1","","54d26d05-2314-4a68-a425-fe64546ac48a","pe-section","file"
"6d0c0086-401b-4642-9cef-9d488417630c",41214,"Payload delivery","sha256","c8fe60d83d2121d851216b4a60d376b3453d2584c0ff2f3cf52d1ab4b105c5ee","",1,1684704941,"sha256","","54d26d05-2314-4a68-a425-fe64546ac48a","pe-section","file"
"e6b24fdc-8aae-4bb0-9e17-f648248a34dc",41214,"Other","size-in-bytes",512,"",0,1684704941,"size-in-bytes","","54d26d05-2314-4a68-a425-fe64546ac48a","pe-section","file"
"55e0927c-3fab-49d7-bbea-c59b7a33b0f9",41214,"Other","float",0.10191,"",0,1684704941,"entropy","","54d26d05-2314-4a68-a425-fe64546ac48a","pe-section","file"
"33993852-5e17-4a9b-8fd5-28c91ade03d2",41214,"External analysis","link","https://www.virustotal.com/gui/file/f362a8543a40e8bdc5bccda150334bdd2f53f4b169725b3522064aa27992d1c9/detection","",0,1684704941,"permalink","","e09b464c-dc85-4121-9d3b-343d160bf0b3","virustotal-report","misc"
"e77d478b-67fa-4ef5-a9f9-65ec918b6a53",41214,"Other","datetime","2023-05-21T21:07:15.000000+0000","",0,1684704941,"last-submission","","e09b464c-dc85-4121-9d3b-343d160bf0b3","virustotal-report","misc"
"b5479fd6-d9a1-45fe-89b8-1b5f90b0d975",41214,"Other","text","51/71","",0,1684704941,"detection-ratio","","e09b464c-dc85-4121-9d3b-343d160bf0b3","virustotal-report","misc"

