uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"960b4011-4047-450d-949b-24969ac9f104",34975,"Payload delivery","filename","emptyfilename.tmp","",0,1603124345,"","","","",""
"42132550-3437-4a9a-b490-18703b984add",34975,"Payload delivery","md5","7c1316251b466712bed86b62248851b9","",1,1603124345,"","","","",""
"06658f34-e0be-46db-9713-7e2643294fc9",34975,"Payload delivery","sha1","8f93c78038a2eb172d550e3a2c24737decbc1fea","",1,1603124345,"","","","",""
"2ec82c11-b1ef-4c32-9b70-9759809b3cc0",34975,"Payload delivery","sha256","8829f7bb7464e79e622b61a8ec124ae5a8b7163429c0dea4b7fef621e6ee5007","",1,1603124345,"","","","",""
"f71f1ddf-2b34-4143-907d-5d0ec004d3ad",34975,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1603124345,"","","","",""
"56838a87-4c4b-4efd-a8a8-97ef2c030ae6",34975,"Payload delivery","imphash","dc46c3c58168f52f8ba26a02601bdd0b","",0,1603124345,"","","","",""
"e96c2fe0-f176-425e-ac7b-6db5cb47a713",34975,"Network activity","url","http://thewakestudio.com/wp-admin/3D/","",1,1603124345,"","","","",""
"8e94d295-6c5b-41cc-af09-8fa27de42552",34975,"Network activity","domain","thewakestudio.com","",1,1603124346,"","","","",""
"ca9b1674-a615-44f8-8096-ace6a0d769ab",34975,"Other","text",".text","",0,1603124346,"name","","06e1893a-64ac-4fc7-9b6b-8862da149914","pe-section","file"
"627be230-ca26-4a0a-aaef-b0bfda4181b7",34975,"Payload delivery","md5","87cfec82f2275f30f2271854bfbb08e3","",1,1603124346,"md5","","06e1893a-64ac-4fc7-9b6b-8862da149914","pe-section","file"
"8ee61d66-1582-47cb-914d-978bdaf8fabc",34975,"Payload delivery","sha1","ac30cf548afdb86423d94588fe746b3a6db41c22","",1,1603124346,"sha1","","06e1893a-64ac-4fc7-9b6b-8862da149914","pe-section","file"
"4627977b-0664-4228-ada7-b437d8061d68",34975,"Payload delivery","sha256","058b2e4450c1f68b79bd736b2c616c829365d2534fac4d55b9431592c9058dfb","",1,1603124346,"sha256","","06e1893a-64ac-4fc7-9b6b-8862da149914","pe-section","file"
"ce83f691-321e-4bfd-9c1d-9bdf2b19dcfa",34975,"Other","size-in-bytes",129024,"",0,1603124346,"size-in-bytes","","06e1893a-64ac-4fc7-9b6b-8862da149914","pe-section","file"
"6aaf4771-6396-469b-bd88-763298f16c31",34975,"Other","float",6.60329,"",0,1603124346,"entropy","","06e1893a-64ac-4fc7-9b6b-8862da149914","pe-section","file"
"a56f7843-5529-4e8d-9f2a-dc09c8a73cd1",34975,"Other","text",".rdata","",0,1603124347,"name","","82451f82-fffb-421e-8711-622cfa416dd2","pe-section","file"
"73477cac-d9d5-4dc4-955f-dbf58da05ca5",34975,"Payload delivery","md5","01c9f222dd962247980bab7d16e7b7dc","",1,1603124347,"md5","","82451f82-fffb-421e-8711-622cfa416dd2","pe-section","file"
"4da1d129-8033-4fa1-9e4c-8814701804ee",34975,"Payload delivery","sha1","c556455c7c2355b2f785fa638c1d1c9c350ede6f","",1,1603124347,"sha1","","82451f82-fffb-421e-8711-622cfa416dd2","pe-section","file"
"3e48b20b-860c-468f-a007-e7013180153c",34975,"Payload delivery","sha256","24628991f322fc26cd27afd468ccd5d49b75473e48b9947bbbe0b6e863df9f82","",1,1603124347,"sha256","","82451f82-fffb-421e-8711-622cfa416dd2","pe-section","file"
