uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"7ef76c19-2ec3-4668-a39f-9233e6dd6416",52588,"Payload delivery","filename","EDfjbIKwOORx.php","",0,1617656274,"","","","",""
"500827c7-bb0e-4e3c-9d3a-b1568b794ee6",52588,"Payload delivery","md5","570511f086c4f2e2eefd35e6a6a12844","",1,1617656274,"","","","",""
"7e537878-fda1-4df1-86c5-4295d11c974b",52588,"Payload delivery","sha1","edb8fd566bcd9e62cd613aa2b665479ef1b9f8bf","",1,1617656274,"","","","",""
"28eb5596-b3ec-44ec-9027-cec78b060465",52588,"Payload delivery","sha256","5230a583c4e9bb5373873e944f104979b16ce18b02533fbf797d788cc3f7de50","",1,1617656274,"","","","",""
"96eaa5b4-1ba4-4cf2-b7c7-f5b188cd9ee2",52588,"Payload delivery","mime-type","PE32 executable (DLL) (GUI) Intel 80386, for MS Windows","",0,1617656274,"","","","",""
"16f6ffe9-1ced-442d-92c2-5c2690fec873",52588,"Payload delivery","imphash","cb5482a0fad978688db5ffd0e59e43ac","",0,1617656274,"","","","",""
"6726311a-71a2-40b7-b7db-fae93e09a25d",52588,"Network activity","url","https://pradeshnee.com/wp-content/plugins/seo_index/EDfjbIKwOORx.php","",1,1617656274,"","","","",""
"062f6b92-480f-466c-9b66-3ace0a624411",52588,"Network activity","domain","pradeshnee.com","",1,1617656274,"","","","",""
"fcaa8148-81fd-4980-9e4f-ab1a4288b7ce",52588,"Other","text",".text","",0,1617656274,"name","","91d435a2-f5b2-4bb5-8b56-fdc811e1c06c","pe-section","file"
"a0884531-f193-4b72-aed1-1eb509ded5b1",52588,"Payload delivery","md5","1a9e1e57b60db1be23901d1f8a16f24b","",1,1617656274,"md5","","91d435a2-f5b2-4bb5-8b56-fdc811e1c06c","pe-section","file"
"e2e92dcf-d7b9-4521-908d-045ad1500277",52588,"Payload delivery","sha1","0b2532347b48cbdc89d95aba331b4f5afb07cf3d","",1,1617656274,"sha1","","91d435a2-f5b2-4bb5-8b56-fdc811e1c06c","pe-section","file"
"0f3faeaf-41c5-4168-a0f0-ebd7080f997a",52588,"Payload delivery","sha256","f51953805f331d4efadcb6ce1635c8951c1e81fd256021f63750ca35dbea4681","",1,1617656274,"sha256","","91d435a2-f5b2-4bb5-8b56-fdc811e1c06c","pe-section","file"
"d9a64001-ab97-44e7-aaf3-80b982e40b80",52588,"Other","size-in-bytes",40960,"",0,1617656274,"size-in-bytes","","91d435a2-f5b2-4bb5-8b56-fdc811e1c06c","pe-section","file"
"74ba43b6-1a2f-429b-b116-8c402c94c07e",52588,"Other","float",5.56184,"",0,1617656274,"entropy","","91d435a2-f5b2-4bb5-8b56-fdc811e1c06c","pe-section","file"
"2cf36422-f6eb-495f-a1d0-2c24007efd23",52588,"Other","text",".rdata","",0,1617656275,"name","","2edf36a0-8183-44c8-aea9-c4528d02d74e","pe-section","file"
"9bf2e77b-3cf6-4c30-a431-e3f0f416db9d",52588,"Payload delivery","md5","874ae1663704767e2ab58e48ddaa702c","",1,1617656275,"md5","","2edf36a0-8183-44c8-aea9-c4528d02d74e","pe-section","file"
"50b14910-91cd-46b2-a3b1-f384af435be9",52588,"Payload delivery","sha1","db5fb890c2feb553e8a1e9232f1f1b0a547f544c","",1,1617656275,"sha1","","2edf36a0-8183-44c8-aea9-c4528d02d74e","pe-section","file"
"a2f1187c-cdc3-40dd-a7cc-7b1c3bc71125",52588,"Payload delivery","sha256","7b31090642aab76a9d708833e2a2a6dee1ec6cd25e121069ae611c3af7a6cbc9","",1,1617656275,"sha256","","2edf36a0-8183-44c8-aea9-c4528d02d74e","pe-section","file"
"b3175f56-4808-4803-bd35-b5dbd2d71182",52588,"Other","size-in-bytes",4096,"",0,1617656275,"size-in-bytes","","2edf36a0-8183-44c8-aea9-c4528d02d74e","pe-section","file"
"0f2ff37b-f002-4f6d-bbeb-a3fe25cec4d2",52588,"Other","float",1.51732,"",0,1617656275,"entropy","","2edf36a0-8183-44c8-aea9-c4528d02d74e","pe-section","file"
"73597c20-6644-4529-ad2e-f57eccefe2ed",52588,"Other","text",".pdata","",0,1617656275,"name","","32e9065e-c526-4651-b9e7-4759347ef470","pe-section","file"
"f581ece9-3892-4189-b605-94467c2ef217",52588,"Payload delivery","md5","bd3ad6be7b40a5a56b9e62070fedcfb8","",1,1617656275,"md5","","32e9065e-c526-4651-b9e7-4759347ef470","pe-section","file"
"2460e67b-50ca-4215-9284-365693f006b2",52588,"Payload delivery","sha1","2d0cc06076a4804a3fb96c8f9585041db1166d9b","",1,1617656275,"sha1","","32e9065e-c526-4651-b9e7-4759347ef470","pe-section","file"
"87fd3294-5f0d-4c5c-b95d-d1bc2b76db61",52588,"Payload delivery","sha256","0a71eb72c21e1b5191f8204ef8826f5e8130c5d7f05811eb464ac36ebd4c65dd","",1,1617656275,"sha256","","32e9065e-c526-4651-b9e7-4759347ef470","pe-section","file"
"eabec528-3a98-48b4-b4a8-699f192207dd",52588,"Other","size-in-bytes",126976,"",0,1617656275,"size-in-bytes","","32e9065e-c526-4651-b9e7-4759347ef470","pe-section","file"
"0e8059f5-72c2-4eb7-aec6-d035be4de53b",52588,"Other","float",7.84042,"",0,1617656275,"entropy","","32e9065e-c526-4651-b9e7-4759347ef470","pe-section","file"
"ca4bfaff-f527-4850-ab1d-5ed076e0c354",52588,"Other","text",".rsrc","",0,1617656276,"name","","d2a18584-b3ad-4e0e-8fa9-7140b945d67e","pe-section","file"
"db5a3e9e-75f3-4bef-bd7a-ecde964688fe",52588,"Payload delivery","md5","9ff8ac424cc9d8af14e65e1a6d3b13f5","",1,1617656276,"md5","","d2a18584-b3ad-4e0e-8fa9-7140b945d67e","pe-section","file"
"e501d0d1-12fc-403f-83a2-8bea049645af",52588,"Payload delivery","sha1","b05b5033c7ac34c38f3334ff362e92ed0bade0ed","",1,1617656276,"sha1","","d2a18584-b3ad-4e0e-8fa9-7140b945d67e","pe-section","file"
"5b822bb4-0ea3-4479-87d8-534e539a350e",52588,"Payload delivery","sha256","e2a2eff6b0a45bd5e9ea84a7c11c994af616f54cdde340c214255cd2298eb769","",1,1617656276,"sha256","","d2a18584-b3ad-4e0e-8fa9-7140b945d67e","pe-section","file"
"7886c526-d540-4d3c-ad2f-af165abd9f41",52588,"Other","size-in-bytes",28672,"",0,1617656276,"size-in-bytes","","d2a18584-b3ad-4e0e-8fa9-7140b945d67e","pe-section","file"
"c74deccb-a8a1-457d-b019-ae2e8e2c627c",52588,"Other","float",6.32674,"",0,1617656276,"entropy","","d2a18584-b3ad-4e0e-8fa9-7140b945d67e","pe-section","file"
"b7e9ed95-9a13-4119-8c29-d09eb192ec5c",52588,"Other","text",".reloc","",0,1617656276,"name","","37ab6dcd-76a1-4415-bef3-85bd8e9116fc","pe-section","file"
"186ae39a-7931-4248-8fce-d2d08a480cab",52588,"Payload delivery","md5","250a9b61d3b962f099e0a206d6a2a532","",1,1617656276,"md5","","37ab6dcd-76a1-4415-bef3-85bd8e9116fc","pe-section","file"
"679d7e88-c867-4f09-a45b-bfb3ec7293d3",52588,"Payload delivery","sha1","ddf50fe695f042aa25c42a79d16a5829ba5383a4","",1,1617656276,"sha1","","37ab6dcd-76a1-4415-bef3-85bd8e9116fc","pe-section","file"
