uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"118140f9-3f22-4168-93ff-8c514d83d5fe",2566,"Payload delivery","filename","toolspab3.exe","",0,1640022425,"","","","",""
"0d7640c2-ad6a-4b3f-9baa-ca118064798e",2566,"Payload delivery","md5","8cb64a72fc2f1a1ba486f69736e62da6","",1,1640022425,"","","","",""
"3e10edb4-07a7-4b81-8988-9befa132370f",2566,"Payload delivery","sha1","f05574e17501ff36efee6f7f01b38c95e7e370a0","",1,1640022425,"","","","",""
"038c4a96-17e7-4911-a6d4-b549ebaf216e",2566,"Payload delivery","sha256","03887dd97d7c80481d26771334e3917644d553eb1a785bd3968dda78c319cf23","",1,1640022425,"","","","",""
"f6f14fbd-748d-4699-a2ca-0205aecfec82",2566,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1640022425,"","","","",""
"8dff5a26-30d6-4614-a6cb-a1e99b03c4b1",2566,"Payload delivery","imphash","4c21834df97c6c7299aeac0fa46461aa","",0,1640022425,"","","","",""
"c06f2178-3141-4ebb-b329-3b4d64c33174",2566,"Network activity","url","http://privacytools-foryou777.com/downloads/toolspab3.exe","",1,1640022425,"","","","",""
"87e4ac62-c91a-48e7-805e-be19ecbe4931",2566,"Network activity","domain","privacytools-foryou777.com","",1,1640022425,"","","","",""
"d8679024-69da-4504-9b71-b4b0e0135029",2566,"Other","text",".text","",0,1640022426,"name","","7a0d8c10-709f-44a7-85c7-919ea5c9ad15","pe-section","file"
"f460cb61-bf8a-4b21-8dfd-8d8524a4ffe6",2566,"Payload delivery","md5","96e1bfbc3d5677de8016bd12bae19f04","",1,1640022426,"md5","","7a0d8c10-709f-44a7-85c7-919ea5c9ad15","pe-section","file"
"1a0f79ee-467e-445d-953c-130ad967be18",2566,"Payload delivery","sha1","de8b91eda2f9a788940877099d2334556dd53c90","",1,1640022426,"sha1","","7a0d8c10-709f-44a7-85c7-919ea5c9ad15","pe-section","file"
"4d66d47d-0b6c-4835-bab4-17bb563a8c8a",2566,"Payload delivery","sha256","0c34be244c5d9aaf2d9073cadb23056e3d083968d1d7810b469519fe9d9e3201","",1,1640022426,"sha256","","7a0d8c10-709f-44a7-85c7-919ea5c9ad15","pe-section","file"
"6e5f9439-ceec-41d8-a762-4545d7437678",2566,"Other","size-in-bytes",244224,"",0,1640022426,"size-in-bytes","","7a0d8c10-709f-44a7-85c7-919ea5c9ad15","pe-section","file"
"df9d3498-7718-4c21-973e-783ccc7b20e0",2566,"Other","float",6.97923,"",0,1640022426,"entropy","","7a0d8c10-709f-44a7-85c7-919ea5c9ad15","pe-section","file"
"6c2b9720-0df0-4555-bc9c-cae5a677d404",2566,"Other","text",".data","",0,1640022426,"name","","cb7daaac-f831-49ad-a685-00e7ce47531f","pe-section","file"
"bd009fc3-8b5c-4c82-bf24-7a1ec792c40c",2566,"Payload delivery","md5","81d8262a4e473802079b7eb1bc8ab7c1","",1,1640022426,"md5","","cb7daaac-f831-49ad-a685-00e7ce47531f","pe-section","file"
"d36922ac-559a-4503-be93-872461a0766c",2566,"Payload delivery","sha1","041dcd92de3266f65e5a5b8a8038eb2859c01663","",1,1640022426,"sha1","","cb7daaac-f831-49ad-a685-00e7ce47531f","pe-section","file"
"70438533-e5b8-4420-99d4-9f2dd70ac2ab",2566,"Payload delivery","sha256","fdd3e2a52f985ade850047043c8864b50ee22b4e62cc9451fe4095b4c19ccfd1","",1,1640022426,"sha256","","cb7daaac-f831-49ad-a685-00e7ce47531f","pe-section","file"
"06b610a9-c3a3-4d18-9fd4-d66bc672dc4a",2566,"Other","size-in-bytes",55296,"",0,1640022426,"size-in-bytes","","cb7daaac-f831-49ad-a685-00e7ce47531f","pe-section","file"
"ff0e0296-ecb6-4cfa-9062-5eec38496cc3",2566,"Other","float",0.440963,"",0,1640022426,"entropy","","cb7daaac-f831-49ad-a685-00e7ce47531f","pe-section","file"
"e3027c49-1d94-472b-a188-233038ecb002",2566,"Other","text",".rsrc","",0,1640022426,"name","","356ebdfd-2482-4d48-bb70-da4baef4c9e9","pe-section","file"
"ed622b3e-0de6-45a7-8a67-af8bc9f59dd8",2566,"Payload delivery","md5","8faf46d08f0ca353e6f1a0d535a81e56","",1,1640022426,"md5","","356ebdfd-2482-4d48-bb70-da4baef4c9e9","pe-section","file"
"d43c9264-9fc2-4f7c-a460-4b5ae5da6bc7",2566,"Payload delivery","sha1","c12b3c88e5c00ae7c82f351c1314a3a60b5a6371","",1,1640022426,"sha1","","356ebdfd-2482-4d48-bb70-da4baef4c9e9","pe-section","file"
"a2b75bba-9c38-4cdc-8659-6ad13731588a",2566,"Payload delivery","sha256","309e80a19d34975def0b2dd01d7c09f1eb50f898efa5e7d05d1c1c970df73b48","",1,1640022426,"sha256","","356ebdfd-2482-4d48-bb70-da4baef4c9e9","pe-section","file"
"70754125-ffa6-43d9-b1d8-ed1582b7f5ab",2566,"Other","size-in-bytes",29184,"",0,1640022426,"size-in-bytes","","356ebdfd-2482-4d48-bb70-da4baef4c9e9","pe-section","file"
"1915c35d-7979-494a-95e5-b096d6184bf0",2566,"Other","float",5.26705,"",0,1640022426,"entropy","","356ebdfd-2482-4d48-bb70-da4baef4c9e9","pe-section","file"
"29010098-da8f-40be-af6f-0187a50f298d",2566,"Other","text",".reloc","",0,1640022427,"name","","d16c4c03-82ec-4bab-bd6c-b26c6f836407","pe-section","file"
"a3777f20-5490-4425-ae43-c9ae88f0a718",2566,"Payload delivery","md5","f35dfb0c6861fea62df1b8f9b32ba796","",1,1640022427,"md5","","d16c4c03-82ec-4bab-bd6c-b26c6f836407","pe-section","file"
"3e04fca4-ca4e-48fb-903c-e76aebe83e13",2566,"Payload delivery","sha1","41bf720c16bdcc9ad4dcde08523fec30928da7ca","",1,1640022427,"sha1","","d16c4c03-82ec-4bab-bd6c-b26c6f836407","pe-section","file"
