uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"8a2eca83-2122-432d-a808-1852348a88e0",62972,"Payload delivery","filename","x-8.6-.SNOOPY","",0,1633628646,"","","","",""
"49a62583-a188-42e4-a3f6-ac58116d8d04",62972,"Payload delivery","md5","c3ff5a501254030c6643b18ae5c63682","",1,1633628646,"","","","",""
"23c78470-3ce0-4899-91bb-fb5bae9422fb",62972,"Payload delivery","sha1","c1318d78977a52046774ce7e23bac0038a0b7df5","",1,1633628646,"","","","",""
"dfc5e08c-b20b-4308-a4be-dd7864744a68",62972,"Payload delivery","sha256","40e8508dc9ac0a3a3721ffe63b049d7405a86ac3290c27638113d72322485889","",1,1633628646,"","","","",""
"72f3d277-b0b8-4d71-83ca-54b66e63381c",62972,"Payload delivery","mime-type","ELF 64-bit LSB executable, x86-64, version 1 (SYSV), statically linked, not stripped","",0,1633628646,"","","","",""
"2305d73a-0b2e-46fd-9910-51fb47495215",62972,"Network activity","url","http://45.156.23.66/x-8.6-.SNOOPY","",1,1633628646,"","","","",""
"142692e9-0258-42ac-ba7b-fadf34f6b6bb",62972,"Network activity","ip-dst","45.156.23.66","",1,1633628646,"","","","",""
"1ff8a2c8-a867-484a-9275-a4bc1c6623b0",62972,"External analysis","link","https://www.virustotal.com/gui/file/40e8508dc9ac0a3a3721ffe63b049d7405a86ac3290c27638113d72322485889/detection","",0,1633628647,"permalink","","ac2730da-f37a-4ea6-8550-c42f6f24b629","virustotal-report","misc"
"ba167ce4-62f5-4c41-afa4-b46bd16c144f",62972,"Other","datetime","2021-10-07T14:51:17.000000+0000","",0,1633628647,"last-submission","","ac2730da-f37a-4ea6-8550-c42f6f24b629","virustotal-report","misc"
"0bb9357a-376d-4da4-9139-af4e96415bc8",62972,"Other","text","34/62","",0,1633628647,"detection-ratio","","ac2730da-f37a-4ea6-8550-c42f6f24b629","virustotal-report","misc"

