uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"e9a12dbf-ae99-4444-9a99-c721aba8d5a2",11672,"Payload delivery","filename","sora.arm6","",0,1651120684,"","","","",""
"c15f5bd4-5637-4b15-a051-b1baadf9b9ab",11672,"Payload delivery","md5","0b95421ed966efedd4185d9b7cbf1b3e","",1,1651120684,"","","","",""
"db08febd-2fea-4618-b2e4-c9b144be6563",11672,"Payload delivery","sha1","f4de41b41668f6ba7a50bd28b4dd9409968fc04e","",1,1651120684,"","","","",""
"543fe139-627d-4cb8-8b62-354d5258868b",11672,"Payload delivery","sha256","5d3d2fef0adb75073d9d13478506a0ab4c3199e85169934900f45c3454f0c86a","",1,1651120684,"","","","",""
"e013b93b-a67c-49ab-877c-c8cbdb13ebe4",11672,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (GNU/Linux), statically linked, no section header","",0,1651120684,"","","","",""
"96307a34-34a8-48ff-93a7-32690a8454c2",11672,"Network activity","url","http://2.56.56.94/bins/sora.arm6","",1,1651120684,"","","","",""
"e7e91e99-ccd1-409d-b42a-6b791eb70676",11672,"Network activity","ip-dst","2.56.56.94","",1,1651120684,"","","","",""
"25098271-777c-4d2a-9eea-f815dd4e74e4",11672,"External analysis","link","https://www.virustotal.com/gui/file/5d3d2fef0adb75073d9d13478506a0ab4c3199e85169934900f45c3454f0c86a/detection","",0,1651120684,"permalink","","b40777fd-b8db-4ea3-8a9e-fab127282683","virustotal-report","misc"
"1179eef7-303c-44b0-b0be-09a6842d697c",11672,"Other","datetime","2022-04-28T04:08:28.000000+0000","",0,1651120684,"last-submission","","b40777fd-b8db-4ea3-8a9e-fab127282683","virustotal-report","misc"
"83a025b5-0be7-4659-b93e-729b5a67c7fb",11672,"Other","text","23/59","",0,1651120684,"detection-ratio","","b40777fd-b8db-4ea3-8a9e-fab127282683","virustotal-report","misc"

