uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"7c5a1cb9-65d1-4801-ae4c-7e004acad6cd",56882,"Payload delivery","filename","x86","",0,1624287247,"","","","",""
"1ac26700-64d1-4ac3-9d11-31cb05f1f404",56882,"Payload delivery","md5","b68018eca70f1eff6fb4c5fef6eb98a0","",1,1624287247,"","","","",""
"bdfec138-8e28-4430-ac70-f905d66affe3",56882,"Payload delivery","sha1","93ecb25a2e8ae16007b488f52f44eae43bf4ddac","",1,1624287247,"","","","",""
"e037eee6-d8ff-4ff2-8191-3bb952f44989",56882,"Payload delivery","sha256","2c123b50067d4cd49a46dfe25792ebe94fa4e3369b7c18c16671fe956969e94e","",1,1624287247,"","","","",""
"2560f21d-ca06-4c62-8a3e-fd233cd464c9",56882,"Payload delivery","mime-type","ELF 32-bit LSB executable, Intel 80386, version 1 (GNU/Linux), statically linked, no section header","",0,1624287247,"","","","",""
"09503ac3-6831-42a6-9de4-f767cd041dc8",56882,"Network activity","url","http://23.94.7.153/SBIDIOT/yarn","",1,1624287247,"","","","",""
"d090bd17-c9b9-4c65-929a-d95253453c0d",56882,"Network activity","ip-dst","23.94.7.153","",1,1624287247,"","","","",""
"8dcffcc6-cb51-4d04-beb1-bb2311e65ebe",56882,"External analysis","link","https://www.virustotal.com/gui/file/2c123b50067d4cd49a46dfe25792ebe94fa4e3369b7c18c16671fe956969e94e/detection","",0,1624287248,"permalink","","a0b09658-afda-4ada-b3c6-c7f30526e38c","virustotal-report","misc"
"9db9a288-2569-4625-adb4-b4b89704a472",56882,"Other","datetime","2021-06-21T12:41:04.000000+0000","",0,1624287248,"last-submission","","a0b09658-afda-4ada-b3c6-c7f30526e38c","virustotal-report","misc"
"6f194c17-25ac-4e93-b5f5-a1cac3e8a043",56882,"Other","text","13/60","",0,1624287248,"detection-ratio","","a0b09658-afda-4ada-b3c6-c7f30526e38c","virustotal-report","misc"

