uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"89882ac3-130d-43d8-8985-17a8c66645cf",27522,"Payload delivery","filename","41929%20(576).doc","",0,1598383925,"","","","",""
"d438941b-a3a0-4e62-81e5-26991e24f92a",27522,"Payload delivery","md5","ae72b173b41b6868cfa15114870e4b09","",1,1598383925,"","","","",""
"7ad1bf04-4144-4d52-81f8-3e2054ddd022",27522,"Payload delivery","sha1","d919165edc9fa5a37068bb1c3be943897b2fe21d","",1,1598383925,"","","","",""
"51c05d6c-a8ba-426c-8d76-bbc5f984fb51",27522,"Payload delivery","sha256","b514bda94ae71f54abae2fc93462078e0de24d6b9075ddea6f0758572d2460ff","",1,1598383925,"","","","",""
"99873c0d-84d2-4be4-96cb-5b2892f9ee92",27522,"Payload delivery","mime-type","Microsoft Word 2007+","",0,1598383925,"","","","",""
"98af69fb-c965-453b-aea6-f1debfd3b46d",27522,"Network activity","url","https://shimicenter.org/clientlabel/41929%20(576).doc","",1,1598383925,"","","","",""
"c74265be-f4fa-4ab2-a8ff-f43304396354",27522,"Network activity","domain","shimicenter.org","",1,1598383925,"","","","",""
"5cfed01a-6812-4bbc-b777-d5bfbf228dd3",27522,"External analysis","link","https://www.virustotal.com/gui/file/b514bda94ae71f54abae2fc93462078e0de24d6b9075ddea6f0758572d2460ff/detection","",0,1598383925,"permalink","","003959a5-e3ce-4c14-9fd4-568228da47d5","virustotal-report","misc"
"cc81657b-4057-4847-8d7e-87e8357beff4",27522,"Other","datetime","2020-08-25T17:47:44.000000+0000","",0,1598383925,"last-submission","","003959a5-e3ce-4c14-9fd4-568228da47d5","virustotal-report","misc"
"02be359e-a486-4d37-a105-5780ba0bd312",27522,"Other","text","15/61","",0,1598383925,"detection-ratio","","003959a5-e3ce-4c14-9fd4-568228da47d5","virustotal-report","misc"

