uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"56390745-bc8b-4572-865d-001b0048cc46",39990,"Payload delivery","filename","file2.exe","",0,1683535990,"","","","",""
"87929634-a780-4a7f-847b-5e48d043237f",39990,"Payload delivery","md5","7008af4d6c8a792cc119540ed6591c07","",1,1683535990,"","","","",""
"aa4e2235-639e-49bc-b734-906d0efd72f0",39990,"Payload delivery","sha1","744e314b4ad2f840b863fe27e3d0f50dcbb48440","",1,1683535990,"","","","",""
"b4a49515-6ea9-4071-a401-8ff1975da16d",39990,"Payload delivery","sha256","f05410be61773c8019254c58a2932d47da169ad47887fe14cc26a43b55399f17","",1,1683535990,"","","","",""
"3df7f9ae-cf23-4539-b0fa-ce690308e910",39990,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1683535990,"","","","",""
"db2acfa3-a47f-4126-8247-0a95c8264807",39990,"Payload delivery","imphash","d4c40d2e91e0691f544d9090d8b1a19b","",0,1683535990,"","","","",""
"897e45f4-319b-468f-8239-984907c64e1f",39990,"Network activity","url","http://davesclassics.com.au/tmp/file2.exe","",1,1683535990,"","","","",""
"448818bd-009d-4bd5-9538-6a3979f49122",39990,"Network activity","domain","davesclassics.com.au","",1,1683535990,"","","","",""
"309f8c6c-5ab4-42e5-b47d-825bd15f1671",39990,"Other","text",".text","",0,1683535991,"name","","2033f0e8-bed6-41c3-9066-93e412e6f20f","pe-section","file"
"fe8f9b0f-fa2e-48bb-8c4c-3fb0eb945ae6",39990,"Payload delivery","md5","4f04ea6296eab220264d2d29eb336dac","",1,1683535991,"md5","","2033f0e8-bed6-41c3-9066-93e412e6f20f","pe-section","file"
"5253066d-fed7-41cc-ac62-71a95f848903",39990,"Payload delivery","sha1","5d3a9e3abca7a722455b776befcc0d07273c6fbd","",1,1683535991,"sha1","","2033f0e8-bed6-41c3-9066-93e412e6f20f","pe-section","file"
"726d724f-46e8-4b95-af44-ac70eec035a3",39990,"Payload delivery","sha256","6afbc3d343b02d981879488f7e279feb8ae813b342f07ef7e9fb12325a836d10","",1,1683535991,"sha256","","2033f0e8-bed6-41c3-9066-93e412e6f20f","pe-section","file"
"2a24cc90-2828-4298-b49b-b19f05fa59b0",39990,"Other","size-in-bytes",75264,"",0,1683535991,"size-in-bytes","","2033f0e8-bed6-41c3-9066-93e412e6f20f","pe-section","file"
"6b2add4c-a3e3-42a7-a1ed-0ac1011682c8",39990,"Other","float",7.78779,"",0,1683535991,"entropy","","2033f0e8-bed6-41c3-9066-93e412e6f20f","pe-section","file"
"5cb98828-536f-4f0d-9566-9f298bb3beac",39990,"Other","text",".rdata","",0,1683535991,"name","","70c69864-bb98-465a-b6a5-afa2354ad061","pe-section","file"
"4ac41d88-dbd3-4438-8477-e3e43609743f",39990,"Payload delivery","md5","e2dc96141a92252741cd841d9538b588","",1,1683535991,"md5","","70c69864-bb98-465a-b6a5-afa2354ad061","pe-section","file"
"3a2f4d96-fb8c-4a9e-a452-ce8cc2390bf1",39990,"Payload delivery","sha1","f01cf3783731c72b43063516758c10953d48351a","",1,1683535991,"sha1","","70c69864-bb98-465a-b6a5-afa2354ad061","pe-section","file"
"e31022e2-6817-4a45-ab8b-b5ab7f88ce7d",39990,"Payload delivery","sha256","42274f7842818ef7bf0c58811abe65c623d3275769e98e4cd773a913e76ac37c","",1,1683535991,"sha256","","70c69864-bb98-465a-b6a5-afa2354ad061","pe-section","file"
"a042750a-3bb3-43ea-bf02-33e8c3a2e39e",39990,"Other","size-in-bytes",10240,"",0,1683535991,"size-in-bytes","","70c69864-bb98-465a-b6a5-afa2354ad061","pe-section","file"
"3081845a-aff6-4cf4-afcc-0de39d9d5b75",39990,"Other","float",6.9828,"",0,1683535991,"entropy","","70c69864-bb98-465a-b6a5-afa2354ad061","pe-section","file"
"2d178abc-d278-4cb0-8784-a98c506e45e8",39990,"Other","text",".data","",0,1683535992,"name","","833b5ffb-e6f8-486c-8a8e-2e244bdb999e","pe-section","file"
"acd1268d-6686-448e-8512-eef8441441af",39990,"Payload delivery","md5","ef3cc534f92c24a01fcc603e88670e6d","",1,1683535992,"md5","","833b5ffb-e6f8-486c-8a8e-2e244bdb999e","pe-section","file"
