uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"3afb343b-8955-48c8-ae4f-531d22b0ae50",13888,"Payload delivery","filename","tdrp.exe","",0,1729122857,"","","","",""
"0d802864-2a56-415e-aed4-5525c63819bd",13888,"Payload delivery","md5","ff2df00e788749ba0f2ca8c29a35030c","",1,1729122857,"","","","",""
"da9562a6-ac0f-4619-93e2-d4984152a2bd",13888,"Payload delivery","sha1","9638e9861cdd6a8b5e4aad28739ebd62ab12b6a1","",1,1729122857,"","","","",""
"7099a954-8b5f-4613-b8b5-e3ca42106b85",13888,"Payload delivery","sha256","8c8ef3881ab44057b4972c9112f73e334c664dace19295c5755f5a38ea6191d7","",1,1729122857,"","","","",""
"4fcb8b53-0094-42e8-b4e1-00a170213dbf",13888,"Payload delivery","mime-type","application/x-dosexec","",0,1729122857,"","","","",""
"b0eb85d2-894e-4a09-ab41-6451ca39ad32",13888,"Payload delivery","imphash","4cb3381251b5ea793cf2758c80a4b865","",0,1729122857,"","","","",""
"7a46cda4-466c-440b-b3ec-f96e0c3f40e9",13888,"Network activity","url","http://185.215.113.66/tdrp.exe","",1,1729122857,"","","","",""
"722623b4-c471-4b65-a7dd-c4f628ab4b39",13888,"Network activity","ip-dst","185.215.113.66","",1,1729122857,"","","","",""
"626c8f55-e4c0-4651-8d47-41ad5b91fdd5",13888,"Other","text",".text","",0,1729122857,"name","","ed3a0e10-b9ae-4c28-9ba7-d5d8ffe2911f","pe-section","file"
"45dcde42-2b67-4bc2-a610-34775e46050e",13888,"Payload delivery","md5","8a2c1ebaafb304912d7dc21edfcd9608","",1,1729122857,"md5","","ed3a0e10-b9ae-4c28-9ba7-d5d8ffe2911f","pe-section","file"
"993ccf7b-76fa-4e17-973d-8892ec2aee45",13888,"Payload delivery","sha1","93ef2e9ecbf13b0000d75bccda37e449629db927","",1,1729122857,"sha1","","ed3a0e10-b9ae-4c28-9ba7-d5d8ffe2911f","pe-section","file"
"e26bc4b0-5b77-4c26-bd7f-cfac360a1647",13888,"Payload delivery","sha256","914f7503e9893045eaf66e60cc6ea67a565d60b1bf90b0a06b74077c6a7a8e92","",1,1729122857,"sha256","","ed3a0e10-b9ae-4c28-9ba7-d5d8ffe2911f","pe-section","file"
"1b820f07-2378-4fe9-8351-b01c48c0ac66",13888,"Other","size-in-bytes",3584,"",0,1729122857,"size-in-bytes","","ed3a0e10-b9ae-4c28-9ba7-d5d8ffe2911f","pe-section","file"
"9e3ade00-d8d4-4c14-90e5-93e3946830d3",13888,"Other","float",5.91196,"",0,1729122857,"entropy","","ed3a0e10-b9ae-4c28-9ba7-d5d8ffe2911f","pe-section","file"
"5031a8cf-c117-4db2-8e81-e5d37f508ad0",13888,"Other","text",".rdata","",0,1729122857,"name","","32b355fc-6887-4529-acec-a47a63a74330","pe-section","file"
"cd1d04a8-c046-4436-924a-b83ad1fb2f36",13888,"Payload delivery","md5","18eed5a40e3e4bf4f1be28f1da84eb51","",1,1729122857,"md5","","32b355fc-6887-4529-acec-a47a63a74330","pe-section","file"
"73b3da2e-0e85-4537-bbb9-cdea2d412d35",13888,"Payload delivery","sha1","0dc6c91faa9beea4b938423b2ef31b904ed17c85","",1,1729122857,"sha1","","32b355fc-6887-4529-acec-a47a63a74330","pe-section","file"
"b2372077-bd17-4886-9159-63e53c0eb816",13888,"Payload delivery","sha256","28bf3438ee720c06c3ad43f64004dcced20de3f1afefb03b9a388d580276e9a1","",1,1729122857,"sha256","","32b355fc-6887-4529-acec-a47a63a74330","pe-section","file"
"5bb498e9-d942-4949-b2ea-52872dd3f9d4",13888,"Other","size-in-bytes",2048,"",0,1729122857,"size-in-bytes","","32b355fc-6887-4529-acec-a47a63a74330","pe-section","file"
"9c5c4beb-a223-41a7-a1be-a65d48bbdf50",13888,"Other","float",4.84765,"",0,1729122857,"entropy","","32b355fc-6887-4529-acec-a47a63a74330","pe-section","file"
"84fdfd72-3f05-4438-99c9-d9a2088250e1",13888,"Other","text",".data","",0,1729122858,"name","","0c80d22d-e6a7-4a9f-9ac9-c74cf5bc5649","pe-section","file"
"e7288cb5-1519-4cdd-a6ff-d1ae5b80055d",13888,"Payload delivery","md5","1aff5ad547c4c730fc85ab2115a11e33","",1,1729122858,"md5","","0c80d22d-e6a7-4a9f-9ac9-c74cf5bc5649","pe-section","file"
"15849658-d75c-4814-9979-3b83fd2d0890",13888,"Payload delivery","sha1","67142a9c57547fb42aa97516d9eb89987ce3396f","",1,1729122858,"sha1","","0c80d22d-e6a7-4a9f-9ac9-c74cf5bc5649","pe-section","file"
"3588e61d-f2c3-410a-8ba8-1b252b07a830",13888,"Payload delivery","sha256","641038bc3afbf2c3d5f47f315a57feb72ff7fc94d6dd360a22ab1bc8b2ca6f4d","",1,1729122858,"sha256","","0c80d22d-e6a7-4a9f-9ac9-c74cf5bc5649","pe-section","file"
"a8c3067c-cbb7-469b-9a62-46911c4b62b1",13888,"Other","size-in-bytes",67584,"",0,1729122858,"size-in-bytes","","0c80d22d-e6a7-4a9f-9ac9-c74cf5bc5649","pe-section","file"
"1a66df5e-d095-4c33-a3bd-05fb3f7fb43f",13888,"Other","float",4.15541,"",0,1729122858,"entropy","","0c80d22d-e6a7-4a9f-9ac9-c74cf5bc5649","pe-section","file"
"8626e97c-f2b4-4457-a193-606fc89a5935",13888,"Other","text",".rsrc","",0,1729122858,"name","","78c48a72-8d47-4ddd-9eba-33663237a0ee","pe-section","file"
"5735e2b8-b19c-4020-87bc-bab19a2f5958",13888,"Payload delivery","md5","d3c0a200e37454c5b637d8ffc8bf7fdf","",1,1729122858,"md5","","78c48a72-8d47-4ddd-9eba-33663237a0ee","pe-section","file"
"02f31c6d-6fcb-47b3-b65f-2b80c8acd226",13888,"Payload delivery","sha1","79c7f9e3039c23759c1a6aa09f908c96b0d62a2b","",1,1729122858,"sha1","","78c48a72-8d47-4ddd-9eba-33663237a0ee","pe-section","file"
"861cee65-60d5-4fd8-8f48-80485818563d",13888,"Payload delivery","sha256","c651ef38463b571d8273ea224221e7b7618fc21e612e0dc4aa6ebb3a67fbd135","",1,1729122858,"sha256","","78c48a72-8d47-4ddd-9eba-33663237a0ee","pe-section","file"
"350015f3-5c24-49d9-8ff1-8d6acdff4bd2",13888,"Other","size-in-bytes",1024,"",0,1729122858,"size-in-bytes","","78c48a72-8d47-4ddd-9eba-33663237a0ee","pe-section","file"
"a0fbdc62-6049-4ff5-90cb-5c5ce9f76611",13888,"Other","float",5.19826,"",0,1729122858,"entropy","","78c48a72-8d47-4ddd-9eba-33663237a0ee","pe-section","file"
"58c05d4a-85bb-4279-a250-90eba8a82c8a",13888,"Other","text",".reloc","",0,1729122858,"name","","3c1a31cb-7a13-4969-8796-0fb06f1779a6","pe-section","file"
"4f764582-7473-4ef4-a7b5-2193d3e892c9",13888,"Payload delivery","md5","8d1b8a83be87cee29c8ad42631b1ef94","",1,1729122858,"md5","","3c1a31cb-7a13-4969-8796-0fb06f1779a6","pe-section","file"
"97d629bf-1942-41dc-8242-fd1e630fd05e",13888,"Payload delivery","sha1","1745f1d34cb99f25f2237910190561e109a7c511","",1,1729122858,"sha1","","3c1a31cb-7a13-4969-8796-0fb06f1779a6","pe-section","file"
"c9a01c87-cf23-408b-9bbf-fe977829161e",13888,"Payload delivery","sha256","659d5bd1c969fbfbb0e73b1c59a72237977d8f67ca7ea29649e97173b6ab4d33","",1,1729122858,"sha256","","3c1a31cb-7a13-4969-8796-0fb06f1779a6","pe-section","file"
"da3eda23-6f71-4a69-ae03-cfd5715337f3",13888,"Other","size-in-bytes",1024,"",0,1729122858,"size-in-bytes","","3c1a31cb-7a13-4969-8796-0fb06f1779a6","pe-section","file"
"3bb76ee1-cb5f-4265-9fac-b5a9fe0e8a07",13888,"Other","float",3.56833,"",0,1729122858,"entropy","","3c1a31cb-7a13-4969-8796-0fb06f1779a6","pe-section","file"
