uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"9c07fb03-7bd8-4252-8dae-1dd36320085d",8693,"Payload delivery","filename","emptyfilename.tmp","",0,1648676102,"","","","",""
"b7f7467c-08e6-44c0-a203-dce9b0cdf208",8693,"Payload delivery","md5","4cb72a941b7dfadf7e27b6ef18432ae6","",1,1648676102,"","","","",""
"eff4b0f2-22be-4009-82da-771e94ba03f0",8693,"Payload delivery","sha1","919d78cbb6fcf420d338b46af44afbe8a667a5b7","",1,1648676102,"","","","",""
"2279128d-18f9-4c94-b402-f450ac9fdfe9",8693,"Payload delivery","sha256","6ec0c271828aea7de5c752cda05d0b1401067f76ef5c10ff2a137d98cd68c99b","",1,1648676102,"","","","",""
"79663272-6c01-4f26-afc2-c12b402e9816",8693,"Payload delivery","mime-type","Composite Document File V2 Document, Little Endian, O%WINDIR%\ Version 10.0, Code page: 1251, Author: DSAfadr, Last Saved By: HRdtjnd, Name of Creating Application: Microsoft Excel, Create Time/Date: Fri Jun  5 19:19:34 2015, Last Saved Time/Date: Wed Mar 30 10:26:54 2022, Security: 0","",0,1648676102,"","","","",""
"cad22a41-37e4-4754-85cc-c61979b85a8d",8693,"Network activity","url","https://haball.pk/wp-includes/J5U10vgPh33u3Nqmr56/","",1,1648676102,"","","","",""
"b45af5b4-d70c-45c2-9187-70a16375a48d",8693,"Network activity","domain","haball.pk","",1,1648676102,"","","","",""
"1135c264-b717-4b66-ba4a-ec17ceb66b07",8693,"External analysis","link","https://www.virustotal.com/gui/file/6ec0c271828aea7de5c752cda05d0b1401067f76ef5c10ff2a137d98cd68c99b/detection","",0,1648676103,"permalink","","960e4cea-5fe7-43ee-be40-57a312e0b6e2","virustotal-report","misc"
"ca5023e7-ca18-4798-9581-1332added30f",8693,"Other","datetime","2022-03-30T20:30:07.000000+0000","",0,1648676103,"last-submission","","960e4cea-5fe7-43ee-be40-57a312e0b6e2","virustotal-report","misc"
"4e5abc67-5700-4e38-b875-178752ac25fa",8693,"Other","text","9/49","",0,1648676103,"detection-ratio","","960e4cea-5fe7-43ee-be40-57a312e0b6e2","virustotal-report","misc"

