uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"2fab4587-f95e-4816-8ea8-6bf746c2bac4",51133,"Payload delivery","filename","winlog.exe","",0,1616745898,"","","","",""
"6e273be9-095a-4863-94a3-7e901bea1c39",51133,"Payload delivery","md5","17b26019431fda27f9470f0dd665e131","",1,1616745898,"","","","",""
"8bce66bf-15ca-4867-8b80-7988a00158af",51133,"Payload delivery","sha1","c5df1190f33cdd303763bbef5950e1244fb3898e","",1,1616745898,"","","","",""
"deb090a6-1814-4f83-a298-95ce46483582",51133,"Payload delivery","sha256","14f42edbf19d11d2fadaa10586ccecbfa285f53ad10e494fb94f03091f93e261","",1,1616745898,"","","","",""
"85c26dde-ebc0-4846-8432-10f8b43fe332",51133,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows, Nullsoft Installer self-extracting archive","",0,1616745898,"","","","",""
"e7d792b6-dd7e-44d5-bb4e-f924e3560b49",51133,"Payload delivery","imphash","7fa974366048f9c551ef45714595665e","",0,1616745898,"","","","",""
"802df90a-1ccf-448a-8655-2c28537a855b",51133,"Network activity","url","http://pmrimewsdylimtwswods.dns.army/documepnt/winlog.exe","",1,1616745898,"","","","",""
"7c97df71-b6f9-4b43-93d4-1a367efa095a",51133,"Network activity","domain","pmrimewsdylimtwswods.dns.army","",1,1616745898,"","","","",""
"0eecd1da-9ff1-403a-ab98-8b1b68d70ec0",51133,"Other","text",".text","",0,1616745906,"name","","16c5a63d-55c3-458d-87b0-f8e54971d6f8","pe-section","file"
"f93180a1-34f5-4fb5-8571-165dccaf1746",51133,"Payload delivery","md5","d8b9f6df4b5b3fcd3dffcc9892202f91","",1,1616745906,"md5","","16c5a63d-55c3-458d-87b0-f8e54971d6f8","pe-section","file"
"c3881377-94b6-43ae-a4e6-9fa38da00ab6",51133,"Payload delivery","sha1","82c285ae80d3193138913d02f2eac6c8a50ec6e3","",1,1616745906,"sha1","","16c5a63d-55c3-458d-87b0-f8e54971d6f8","pe-section","file"
"48b3518c-2524-41ee-926e-4e3f33004563",51133,"Payload delivery","sha256","5eca835906495765e45f7f56b7128aea552ab461e7b8c10b95b7e2f18d11a52d","",1,1616745906,"sha256","","16c5a63d-55c3-458d-87b0-f8e54971d6f8","pe-section","file"
"0161b79f-f212-45e8-9bf6-f72892937699",51133,"Other","size-in-bytes",23040,"",0,1616745906,"size-in-bytes","","16c5a63d-55c3-458d-87b0-f8e54971d6f8","pe-section","file"
"cfe21435-088e-425e-b884-a0de292cd9a4",51133,"Other","float",6.43272,"",0,1616745906,"entropy","","16c5a63d-55c3-458d-87b0-f8e54971d6f8","pe-section","file"
"29fa76bc-ce28-49e9-9481-f1be1f188ee6",51133,"Other","text",".rdata","",0,1616745906,"name","","10bb9b10-2d9f-4773-96e2-03f4949c64c3","pe-section","file"
"a4e971d5-b92c-4f2f-affa-d3210bf5ab61",51133,"Payload delivery","md5","0f7b157b78f399340e80aa07581634eb","",1,1616745906,"md5","","10bb9b10-2d9f-4773-96e2-03f4949c64c3","pe-section","file"
"f8804c35-1fd8-4d7b-8344-9a65b0b36c3a",51133,"Payload delivery","sha1","14675fd97a6b385cfa04e035c05b589b20d8f141","",1,1616745906,"sha1","","10bb9b10-2d9f-4773-96e2-03f4949c64c3","pe-section","file"
"5c6b37e6-22bd-4f29-a5e8-19fdfa9da295",51133,"Payload delivery","sha256","7c8e1b9cc88f733c1000750c10f4a2797c075599d676a96551b304c39c2481ca","",1,1616745906,"sha256","","10bb9b10-2d9f-4773-96e2-03f4949c64c3","pe-section","file"
