uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"0135dddb-b0eb-4f07-ac01-768af7a554b2",23699,"Payload delivery","filename","hatthgola.vmp.dll","",0,1713532385,"","","","",""
"218c0f28-6f74-441a-87a7-06fa2809e49f",23699,"Payload delivery","md5","980d784f44ad9d5fa2447a6201119369","",1,1713532385,"","","","",""
"8e36690e-ae98-475a-abdc-b596d12f750e",23699,"Payload delivery","sha1","b36fa6cae39fd518a1b02f4b2435bbe611780b8f","",1,1713532385,"","","","",""
"9cc07367-de65-4c08-9269-cc6b13b9385a",23699,"Payload delivery","sha256","1fe878d7b30a638fa87d9c23df64d562ef5b2421541adcf58b4096d9a79ba080","",1,1713532385,"","","","",""
"b7af8414-6c36-4248-a6ce-3aa41d52d977",23699,"Payload delivery","mime-type","application/x-dosexec","",0,1713532385,"","","","",""
"307261b1-7ba4-4bed-9e83-3edd5a9d4d90",23699,"Payload delivery","imphash","dae02f32a21e03ce65412f6e56942daa","",0,1713532385,"","","","",""
"b956b5d4-d4de-4722-ac8b-99f608c04284",23699,"Network activity","url","http://204.12.199.30:20991/hatthgola.vmp.dll","",1,1713532385,"","","","",""
"742b7ce7-3637-4db9-b4b8-ff1a48e91a59",23699,"Network activity","ip-dst","204.12.199.30","",1,1713532385,"","","","",""
"343e08e5-dee5-4788-b50b-f5b65f5a1115",23699,"Other","text",".text","",0,1713532385,"name","","d1dfea0a-e841-4c83-91e2-c8af1117eda5","pe-section","file"
"779ad2f8-9df9-4bfa-bd43-844f93d8b30b",23699,"Payload delivery","md5","24ae640906bdb18912009b1051dfa7ea","",1,1713532385,"md5","","d1dfea0a-e841-4c83-91e2-c8af1117eda5","pe-section","file"
"00aa7d7a-2316-4cda-b320-b3f9f6064141",23699,"Payload delivery","sha1","490915a9fd269d61c09bcc085d35b630a2607cb6","",1,1713532385,"sha1","","d1dfea0a-e841-4c83-91e2-c8af1117eda5","pe-section","file"
"f294fbe2-5a9c-47ae-b019-dc8d7eda7c73",23699,"Payload delivery","sha256","1082d426956c77fc3e8e9b7bd85fd1bc55c00003c2da93d6c98a78ed7a6398fb","",1,1713532385,"sha256","","d1dfea0a-e841-4c83-91e2-c8af1117eda5","pe-section","file"
"b5be7234-ec1b-4748-bb52-cb349b94a875",23699,"Other","size-in-bytes",14336,"",0,1713532385,"size-in-bytes","","d1dfea0a-e841-4c83-91e2-c8af1117eda5","pe-section","file"
"15c85f8b-2085-430a-9014-d4e0e87fa758",23699,"Other","float",5.57373,"",0,1713532386,"entropy","","d1dfea0a-e841-4c83-91e2-c8af1117eda5","pe-section","file"
"a87c226c-4916-4b46-8e99-a243d388ba5c",23699,"Other","text",".rsrc","",0,1713532386,"name","","6da8d336-0807-43ee-ab0b-b7f7ae6046d0","pe-section","file"
"0597a184-b8fc-47ce-8922-d92224301445",23699,"Payload delivery","md5","1e29f2280b8408520e44b221f3df15f8","",1,1713532386,"md5","","6da8d336-0807-43ee-ab0b-b7f7ae6046d0","pe-section","file"
"e5e23523-2661-479d-9afb-0773e68d83f1",23699,"Payload delivery","sha1","89d0619f8f8f3f91c88d779552501136fba7101c","",1,1713532386,"sha1","","6da8d336-0807-43ee-ab0b-b7f7ae6046d0","pe-section","file"
"4680d61c-dfdd-46f0-ba88-697947a8a05c",23699,"Payload delivery","sha256","693e3aab989584535466ac031cb81fb45da6ef61a00757d2ae450542eeaa6793","",1,1713532386,"sha256","","6da8d336-0807-43ee-ab0b-b7f7ae6046d0","pe-section","file"
"c5f83edf-3aca-45eb-8afd-224299a6be88",23699,"Other","size-in-bytes",1024,"",0,1713532386,"size-in-bytes","","6da8d336-0807-43ee-ab0b-b7f7ae6046d0","pe-section","file"
"6a69b435-2f03-4f05-a2b0-f58e7bcda169",23699,"Other","float",2.83647,"",0,1713532386,"entropy","","6da8d336-0807-43ee-ab0b-b7f7ae6046d0","pe-section","file"
"973b717f-8280-437a-b5e7-cada1679563e",23699,"Other","text",".reloc","",0,1713532386,"name","","3bee426a-b6b7-4ac9-9534-c6f694b6eabd","pe-section","file"
"c7fad5d6-743d-4cb1-b085-d256f629bbed",23699,"Payload delivery","md5","f6848b2d08198794fe9a01e70d9aad11","",1,1713532386,"md5","","3bee426a-b6b7-4ac9-9534-c6f694b6eabd","pe-section","file"
"b9835fb5-0058-4a80-af93-4997a16a4834",23699,"Payload delivery","sha1","80731e0d7a29ad1f1759bb236d5e95c66c9c09c4","",1,1713532386,"sha1","","3bee426a-b6b7-4ac9-9534-c6f694b6eabd","pe-section","file"
"85c9728e-222a-45b2-91f8-d3a74349714a",23699,"Payload delivery","sha256","8775dc368c641abd7ba081fa11e79029e24ac156521aac04f86f0563a75954e9","",1,1713532386,"sha256","","3bee426a-b6b7-4ac9-9534-c6f694b6eabd","pe-section","file"
"41cf5af6-6b91-4924-83a9-4f79a651d40d",23699,"Other","size-in-bytes",512,"",0,1713532386,"size-in-bytes","","3bee426a-b6b7-4ac9-9534-c6f694b6eabd","pe-section","file"
"f88ba00e-adaf-41ab-ad11-83d331ea9b87",23699,"Other","float",0.0815394,"",0,1713532386,"entropy","","3bee426a-b6b7-4ac9-9534-c6f694b6eabd","pe-section","file"

